inputName,k
11,154
19,154
12,154
38,9
81,189
5,80
40,224
70,174
23,222
72,174
79,174
78,174
87,189
6,80
68,252
69,252
1,80
45,224
33,9
15,154
93,129
24,222
25,222
26,222
48,224
71,174
76,174
7,80
50,224
22,222
4,80
32,9
77,174
91,129
42,224
13,154
41,224
55,224
31,9
66,252
65,252
62,252
21,222
95,129
84,189
58,224
64,252
83,189
94,129
0,80
99,129
96,129
67,252
61,252
43,224
2,80
54,224
30,9
59,224
85,189
74,174
90,129
18,154
52,224
44,224
17,154
36,9
49,224
86,189
37,9
56,224
63,252
35,9
97,129
75,174
57,224
88,189
10,154
53,224
8,80
39,9
47,224
60,252
89,189
51,224
14,154
28,222
16,154
34,9
82,189
46,224
27,222
20,222
9,80
92,129
3,80
98,129
29,222
80,189
73,174
