inputName,n
11,25
19,29
12,24
38,6
81,3
5,24
40,4
70,30
23,9
72,10
79,27
78,9
87,32
6,7
68,24
69,12
1,32
45,16
33,31
15,19
93,6
24,13
25,20
26,12
48,4
71,8
76,18
7,25
50,9
22,8
4,23
32,11
77,9
91,14
42,10
13,18
41,27
55,13
31,5
66,16
65,22
62,4
21,27
95,4
84,4
58,8
64,30
83,29
94,30
0,4
99,8
96,16
67,23
61,32
43,3
2,24
54,12
30,12
59,21
85,16
74,13
90,6
18,22
52,7
44,4
17,8
36,29
49,7
86,24
37,14
56,17
63,11
35,19
97,10
75,16
57,12
88,28
10,14
53,23
8,29
39,29
47,32
60,27
89,3
51,19
14,26
28,9
16,16
34,22
82,8
46,9
27,4
20,14
9,8
92,10
3,21
98,25
29,17
80,19
73,10
