inputName,idum
values_11,1053364740
values_19,1256320483
values_12,-1210276448
values_38,1182765920
values_81,505768265
values_5,1511248144
values_40,-501070026
values_70,-961615668
values_23,-1727352383
values_72,1409667189
values_79,1943688183
values_78,752857544
values_87,-554884767
values_6,-94883439
values_68,-968437210
values_69,1179851783
values_1,1509522191
values_45,320912708
values_33,1271697407
values_15,-103540672
values_93,-740079065
values_24,-569269572
values_25,1502848749
values_26,-1053011736
values_48,364516192
values_71,1076935321
values_76,-395880282
values_7,-1213923485
values_50,-717586545
values_22,1945895231
values_4,568266071
values_32,-1971838932
values_77,1284036899
values_91,-1303145797
values_42,1891432365
values_13,1875209278
values_41,-703581869
values_55,-1410407998
values_31,1944098507
values_66,424063928
values_65,-579225301
values_62,1941393007
values_21,255890108
values_95,417640848
values_84,-897999613
values_58,1180069847
values_64,1750340947
values_83,1463274382
values_94,-346985532
values_0,-1933304970
values_99,124381191
values_96,-18330310
values_67,-689498186
values_61,-696885116
values_43,-1690371667
values_2,-1255338502
values_54,-1998534374
values_30,-504212502
values_59,2017634514
values_85,-242040424
values_74,-1164683441
values_90,-735583937
values_18,-453004151
values_52,1619091909
values_44,-901438958
values_17,-1466666435
values_36,1433500808
values_49,888849191
values_86,173114791
values_37,-2123974576
values_56,-1907296297
values_63,1860762207
values_35,-677614997
values_97,-388339254
values_75,120568666
values_57,223848395
values_88,-571055158
values_10,-1471952527
values_53,-2009568783
values_8,-2019238471
values_39,142774243
values_47,-1737269445
values_60,2063119595
values_89,-1964846083
values_51,1036304420
values_14,1401177871
values_28,1771072004
values_16,1758889007
values_34,1383000767
values_82,1367990543
values_46,-2123001697
values_27,-150876446
values_20,1737540782
values_9,439889172
values_92,1156468162
values_3,838422564
values_98,1594027726
values_29,-1239194175
values_80,1919330868
values_73,-1833662632
