inputName,k
11,55
19,55
12,55
38,195
81,11
5,247
40,40
70,67
23,119
72,67
79,67
78,67
87,11
6,247
68,143
69,143
1,247
45,40
33,195
15,55
93,210
24,119
25,119
26,119
48,40
71,67
76,67
7,247
50,141
22,119
4,247
32,195
77,67
91,210
42,40
13,55
41,40
55,141
31,195
66,143
65,143
62,143
21,119
95,210
84,11
58,141
64,143
83,11
94,210
0,247
99,210
96,210
67,143
61,143
43,40
2,247
54,141
30,195
59,141
85,11
74,67
90,210
18,55
52,141
44,40
17,55
36,195
49,40
86,11
37,195
56,141
63,143
35,195
97,210
75,67
57,141
88,11
10,55
53,141
8,247
39,195
47,40
60,143
89,11
51,141
14,55
28,119
16,55
34,195
82,11
46,40
27,119
20,119
9,247
92,210
3,247
98,210
29,119
80,11
73,67
