inputName,n,key,arr[n]
values_11,4,7,"{3879, 26604, -6139, 18861"
values_19,4,22,"{-11035, -11811, 21743, -16910"
values_12,4,31,"{18746, -15697, -27306, -16776"
values_38,4,29,"{5811, 5590, 14551, 6758"
values_81,20,7,"{10222, -8985, 11952, 24991, 29361, -11618, 14838, 3843, 10417, 28448, 29084, 23228, -23955, -14094, 28066, -12454, 12624, -30072, 5607, 15652"
values_5,18,7,"{-16128, -18294, 7179, 3679, -14673, 17611, -17916, -4370, 26396, 7135, -12443, -13274, 22290, -19722, 4619, -13582, -5172, 19812"
values_40,9,15,"{27424, -23709, 15467, 31303, -28593, -6198, -32251, -22033, -24583"
values_70,31,15,"{-23458, 16570, -19983, -13421, 19041, 19565, -10823, 26695, -27059, -19079, -8675, -10800, 18359, 25349, -15470, -24566, 19267, 20658, 28277, -28591, -8279, 13239, 29127, -16594, 3592, 17623, 25482, -7791, 22544, -27701, -22046"
values_23,21,5,"{3940, 20245, 12514, -17294, 20244, 18455, 27822, -3830, -7918, 14415, -20427, 20299, -29544, 3615, -13391, -25113, -28694, -24383, 3831, 31210, 5531"
values_72,31,31,"{2732, -15333, -380, 15122, -32628, 30692, 14686, -23316, -7533, -27830, -8982, -15727, 19893, 9053, -24265, -8233, -25858, 30553, -21292, 15102, -30843, -18535, 21255, -27504, -5573, 31173, -25049, -31359, -20738, 3501, 10838"
values_79,31,22,"{-26507, 12595, 14205, 276, -13602, -22930, -6925, -3489, -30547, 31050, 11133, 31512, -11524, 24218, 29059, -9357, -16368, 30699, -28878, 25373, 1801, 20274, -1596, -27015, 22200, -8415, 14186, 22374, 24051, 8659, 24608"
values_78,31,29,"{24097, -3177, 3343, 26943, 17076, 22757, 25673, -19920, 28821, -22635, -16198, 7214, -24656, -17506, -17607, 17922, -11004, 10904, 25091, 29623, 16904, -24655, -25336, 6455, 26379, 17742, -6787, -13577, 9665, 2014, -24452"
values_87,20,13,"{4320, 23875, -7983, -5302, -29718, 24616, 27899, -350, 16968, -28556, 16120, -30595, 18782, 32558, 24504, -12426, 25341, 3798, 4203, 4077"
values_6,18,15,"{-25039, 24623, 6706, 21698, -11688, 15696, -13164, 16018, -21949, -30283, 28268, 14566, -23485, -6905, -19085, -16163, 29118, -31184"
values_68,21,29,"{8273, -23899, -21310, 1885, -12717, -3027, -16814, -20246, -11344, -4355, -9235, 25115, -2917, 8555, 19751, -6033, 449, 9765, -13439, 26629, 8739"
values_69,21,22,"{-16900, 12432, 32585, 16476, -23850, -4952, 3540, 30895, 13951, -3681, 2771, -28320, 7659, -5954, 24841, -31137, 15130, 20033, -29266, -26082, -31540"
values_1,18,7,"{-10253, -4034, -27587, 28392, 26551, 22638, -30008, 16403, -25027, -18039, -24977, 19986, -28374, -23314, -31663, -9166, 16276, -11927"
values_45,9,7,"{-19754, -397, 26340, 20926, 7836, 27077, 23338, 17639, -11821"
values_33,4,5,"{-29928, -27571, 30029, -8926"
values_15,4,7,"{-16388, -13407, 8313, 23253"
values_93,13,5,"{-5008, 30432, 15893, 23502, 9297, 6158, 27256, -10969, -27430, -118, 22706, -14166, -15453"
values_24,21,17,"{18553, -16099, 12359, -17994, 21356, 17925, 32678, -17598, 7163, -20184, -16826, 22157, 31046, 10952, 19306, -2774, 4789, -17968, 27868, 10677, -130"
values_25,21,7,"{-14375, 31454, -20696, 25958, -6224, 8060, 31320, -31051, -25367, -406, 21717, 23188, 18288, 1123, -28473, 26596, 10457, 963, -15393, -26406, -5797"
values_26,21,15,"{-31678, -21509, -5962, 17267, -10412, -24219, 15724, -26547, 13879, 20753, 31477, 5940, 5848, -11890, -8198, -23903, -29767, -26571, 20102, 15702, -17876"
values_48,9,29,"{-29221, -25929, -21365, -31737, -1763, -29748, 25998, 18766, 22597"
values_71,31,7,"{18931, -13520, -29648, -10129, 655, -16834, -1275, -31543, -3980, 27590, 136, 20774, -3109, 19769, 9581, 16685, 16680, -154, 14448, -1461, -23583, -797, -10291, -30341, 9078, 16168, 12051, 2096, -8274, -20598, 21113"
values_76,31,15,"{10020, 25772, 21822, 28843, -15077, 6034, 20229, -4608, 14895, -27235, 9036, 14334, -26275, -12862, -14251, -19637, -21938, 5847, -12559, -23193, 21611, -26996, 24260, -14497, 2611, 7463, -27545, 22258, 27028, -21278, -25197"
values_7,18,13,"{16720, -2222, 21832, -17855, 6624, -3749, 17666, -25564, -21095, 26293, 20493, 1739, -25830, 17311, 5638, -8376, -1513, 15112"
values_50,15,15,"{20465, -3696, 5667, 17104, -27085, 30477, 12780, -6516, -19066, 9572, -5640, 1377, 17739, 32477, 23927"
values_22,21,31,"{-19928, -31740, 2032, -23788, 6374, -24335, -26154, 17779, 9561, 25848, 29967, 32468, 27464, 15932, 4288, -20421, 2423, 24438, 13909, -11478, -13093"
values_4,18,17,"{-13375, 15886, 3940, -24055, 13627, -6346, 9238, -10496, -23790, -24265, 20529, -25078, 7185, 2419, 28085, -11939, 30868, 1786"
values_32,4,31,"{10421, -492, -29501, 19979"
values_77,31,13,"{-1165, 24969, 1108, 13987, -2644, -20450, 19485, -19596, 23731, -2537, 3824, 3699, -9499, 23517, -25511, -167, 32236, 9524, -3776, 7351, -24007, -20789, 2805, -32606, -21204, -27685, -17240, 17328, -7394, -6430, 26238"
values_91,13,7,"{6767, -19169, 679, -9161, -30699, 7714, -19619, 32638, -26113, 27091, -1381, 7590, 6467"
values_42,9,31,"{31268, -8180, 10717, 11492, -16970, -15453, -10399, -27486, 11510"
values_13,4,5,"{25372, -18235, -7814, 25284"
values_41,9,7,"{10274, 2367, 6598, 9947, -7118, -5774, -32313, 4055, -7692"
values_55,15,7,"{30935, -23322, -31127, 9697, 12322, 5395, -15957, 13665, -27535, -3240, 9830, 27222, 17074, -17861, -18754"
values_31,4,7,"{-28213, 10465, -15144, -5371"
values_66,21,15,"{-26104, -5294, 11837, -26311, 1629, -16885, 10804, 2937, 27916, 7182, -10050, 28497, 17909, -17602, 22028, 17121, 29681, -22651, -27973, -28855, 11924"
values_65,21,7,"{25394, 8762, 19190, 1600, -5377, -19105, 32158, 31123, -28901, -29497, 10391, 30766, -32381, 27238, -3522, 27047, -1094, 21209, 30120, -11135, -2603"
values_62,21,31,"{-23061, 9129, -11416, 14180, -1429, -32029, -30042, -2044, -21943, -8440, 29312, -12498, 29334, -156, -11848, 17021, -25532, 15940, 15750, -18286, 20245"
values_21,21,7,"{4535, 9493, 13275, 6066, -4831, -11199, 15498, -25220, 22726, -23874, -20503, 30845, -1674, -26590, -26093, 3621, 26972, 31796, -8623, 16947, 23372"
values_95,13,7,"{9472, -14428, -9755, -16494, 30476, -6667, 16531, 32650, 30154, 13805, -30384, 17405, -30924"
values_84,20,17,"{24971, 17599, 5713, 27719, -238, 15067, 6033, 5993, 25094, -7480, -18755, -22135, 13851, 23307, 16364, 11672, -27516, -1559, 17520, 3013"
values_58,15,29,"{-13677, -9727, 7136, -12772, -31697, 25016, -18263, 2820, 5558, -3706, 22448, -24434, -21099, 5805, 12229"
values_64,21,17,"{17185, 13673, 31042, -7521, 1153, -15736, 9805, -17332, -17933, -1758, -19274, 5813, 18705, 31860, 22197, 26115, 13010, 28579, -1602, 10900, -8410"
values_83,20,5,"{25293, -14291, -11576, 14607, -932, 22894, 10102, -8720, -1992, -191, -20587, -2939, -17157, -20582, 30634, -25768, 25112, 8171, -31913, -31745"
values_94,13,17,"{-9732, -15347, -7450, 19289, -27994, 22806, -2112, -22916, 18116, 19751, -7999, -14777, -3998"
values_0,18,15,"{25322, -21719, 24175, -19717, 30070, 20713, -10094, 27005, 3469, -27842, -31447, 20287, 17350, 13007, 5913, 7445, -3345, -10024"
values_99,13,22,"{10303, 16969, 30852, 23904, 20358, -8604, 8858, 29142, -18577, 32601, -9058, 4548, 5916"
values_96,13,15,"{8617, 4531, 19746, -15490, -31610, -3955, -21544, -17630, 25840, 23943, 6277, -23383, 5214"
values_67,21,13,"{7003, 1120, -9969, 19109, 10466, -23662, 13485, 13353, -14063, 14661, -19668, 25410, 11803, 17058, -16971, -20096, -15600, -7834, 7619, -2498, -16345"
values_61,21,7,"{-23017, -11219, 3875, 18690, 14122, -1771, -20483, 32631, 25800, 30043, -1750, 6674, -5145, -11409, 19020, -7992, -30663, -23067, 31955, -17350, 26203"
values_43,9,5,"{-23925, 14325, -3474, 2676, -16472, 28650, -18877, -20420, 26224"
values_2,18,31,"{6036, -14937, -21576, 32258, 14977, -14588, -28971, 18968, 9938, -16483, 7800, 11115, -20724, -13746, 14823, -4769, -1479, -5818"
values_54,15,17,"{3786, -1509, -18044, -25304, 4006, -15970, 4801, 17088, 30376, 22089, 11025, -15457, 20598, -508, -8308"
values_30,4,15,"{21475, 12428, -14152, 4619"
values_59,15,22,"{-9371, 7898, 21998, 28885, 1399, -11426, 19096, 19420, 30865, -5033, 17777, -22302, 646, 30799, -6437"
values_85,20,7,"{-15149, -4547, 14631, -7032, -10479, 2595, 27422, 31821, 5391, -4459, 784, 10363, -2832, 8239, -21095, 16881, -12229, -22915, 445, -20196"
values_74,31,17,"{30265, 1527, -19334, 5688, -6730, -11499, -20955, -22605, 31240, -18289, 28796, 799, 26143, -17472, 4911, -30793, -21130, -20819, -24042, -24832, -9390, -14320, 21450, -24401, -9655, -12686, 22172, -28711, 1327, -167, 11074"
values_90,13,15,"{19239, 25017, -25899, 9308, -126, 11755, -9201, 1923, -26776, 8245, -17563, 19375, 1333"
values_18,4,29,"{7525, -8785, -29128, 4153"
values_52,15,31,"{-30016, 19719, 15046, -8627, -4089, 10333, -20277, 29460, -15517, 1440, -23571, 5953, -28170, -30004, 11888"
values_44,9,17,"{-3737, -15703, 18314, 12897, -6165, 10515, 30222, 4828, 26387"
values_17,4,13,"{28506, 29038, 2473, 23486"
values_36,4,15,"{-27612, -6557, 18226, -6597"
values_49,9,22,"{-10893, 15697, 8349, -1865, -12081, 23889, -19694, -431, -8704"
values_86,20,15,"{-10051, 13747, -5754, -24705, -12801, -16972, -3725, -10606, -27967, -26103, -1748, -430, 19265, -25863, -581, -17283, -28652, 22830, -17354, 28570"
values_37,4,13,"{-20164, -14179, -32033, -2464"
values_56,15,15,"{-12261, 9511, 15577, 3278, 10092, 8860, -9480, -8099, -19057, -3542, -7248, 1949, 12103, -27373, 26764"
values_63,21,5,"{-11029, 22420, 31282, 24101, 3609, 5631, -6491, -17461, 14639, 29282, 26495, -15361, 5584, 23766, -25646, -29070, 29574, 10337, 20485, 27112, -14998"
values_35,4,7,"{30637, -11593, 22606, -13246"
values_97,13,13,"{-23296, -31978, -6540, 11497, -2969, -7948, 18152, 19436, -16479, -31036, 29749, -32482, 1657"
values_75,31,7,"{26753, 29733, -29515, 28997, -8170, -9127, 28457, 11378, -10608, -2192, 30108, 9465, -11029, 20000, -8891, 18155, -2045, 11336, -26246, -31435, 27202, 24373, -22752, -17984, 5451, 2255, 30434, -27551, -24096, -29228, -23189"
values_57,15,13,"{552, -21411, -954, -657, -4701, -12058, -3212, 19653, 5628, -21399, -8341, -12049, 27081, 23644, 24551"
values_88,20,29,"{-15583, -282, -5748, 9953, -11296, -28915, -20882, 3778, -10950, -3351, 16159, -22551, -32132, 14741, -27168, -17699, -29350, 20733, -22231, 25836"
values_10,4,15,"{29772, 873, 8041, 4167"
values_53,15,5,"{-10184, -20065, 14064, 1763, -12285, 13560, -1454, 4497, -19709, 14957, 4587, 7358, -6128, -31874, -23224"
values_8,18,29,"{-27758, 20825, -7958, -2629, 2133, 3075, -19358, -14439, -27089, 25537, -27935, 22794, -26150, -30366, -16300, 20918, -17126, -8541"
values_39,4,22,"{30215, 28811, 22414, 18593"
values_47,9,13,"{28854, -6567, -3029, -14743, 3182, -27617, -1420, 8907, 3116"
values_60,21,15,"{2287, 15783, 21452, -11976, 14143, -25447, -20741, -20843, 7074, -18220, -1749, 8530, 7951, -17137, -15713, -15610, 26114, -21101, 5308, -32181, -12592"
values_89,20,22,"{28307, 26152, -7541, 870, 29416, 14724, 416, 22786, 2126, 16740, 10052, 21198, -20043, 288, -18356, -6728, 32121, -31, 4643, -4241"
values_51,15,7,"{16204, 5150, 22001, -18315, -17935, 17935, 13642, -14828, 9468, 8046, -15890, 17241, 17310, -5766, 6624"
values_14,4,17,"{-4959, -2522, 6444, 22423"
values_28,21,29,"{-19526, -27643, 16885, 6422, -2517, -5363, -32702, -10362, 4079, -23598, -23739, -20844, -32765, -4783, -30688, 15158, -7345, 6772, 20625, -3157, 12232"
values_16,4,15,"{12708, 7145, -28116, -19329"
values_34,4,17,"{1510, 13480, -5487, -25942"
values_82,20,31,"{13845, 6030, 342, -29492, 25138, 15711, 25544, 31280, 2978, 10745, -4104, -32634, 24754, -14783, 20812, 540, 31417, 24210, 20504, -9436"
values_46,9,15,"{-21716, 22079, -31304, -24447, 6319, 32425, -9515, -16268, -7884"
values_27,21,13,"{18551, -32273, 22276, 23031, -8770, 28743, 10130, -1774, -30021, 19526, 613, -21226, 22671, -22707, 32492, -21955, -21463, 674, 21665, 659, -29994"
values_20,21,15,"{-21142, -9720, -4759, -10236, -23474, 28223, -5960, -2248, -6606, -23153, 14259, -581, 31607, -27634, -17796, 4433, -13501, -21635, -13876, -13029, 20299"
values_9,18,22,"{7874, 17921, -13440, -6577, 18524, 13149, 25785, 10221, 15966, 734, 12385, 7407, -15173, 19879, -14684, 2335, -12413, -26472"
values_92,13,31,"{-15091, 13373, 14029, 27449, 25776, -15941, -7403, -853, -12093, -8028, -31012, -16344, 28477"
values_3,18,5,"{-16171, 16011, 32003, 20756, 24065, -21171, 10132, -1090, -12976, -9590, 19882, -22113, -22050, 23373, 15306, -6248, 31371, 19418"
values_98,13,29,"{-26814, 12578, -4344, -4309, 19432, -14389, -2890, 30568, -7087, 23884, 31195, -25790, 7451"
values_29,21,22,"{22680, -16668, 6379, 18799, 12812, -28075, -19758, 24128, -1420, -16110, -8748, 4812, -12978, -3027, 13108, 10066, -25836, 17906, -21946, -2047, -10401"
values_80,20,15,"{-21991, -31990, -6458, 206, -19819, -6515, 8499, -25442, 2073, -16769, -27174, -29787, -5519, -2452, 16614, 16509, -22875, -2880, 14565, -20728"
values_73,31,5,"{-4203, -20228, 3306, 16689, -23369, -2865, -23883, 6647, 6853, -15021, -7190, -27219, -24123, 23201, 20129, -1159, 1950, -22115, -938, -26308, -12814, 18024, 31734, 1991, 12193, 26926, -3650, 30055, 19171, 21696, -32373"
