inputName,size
11,5
19,23
12,20
38,2
81,10
5,18
40,13
70,27
23,17
72,32
79,7
78,31
87,14
6,5
68,20
69,7
1,13
45,24
33,15
15,18
93,23
24,24
25,18
26,19
48,11
71,19
76,5
7,10
50,24
22,2
4,15
32,32
77,22
91,19
42,21
13,7
41,8
55,25
31,16
66,9
65,16
62,2
21,22
95,6
84,17
58,27
64,22
83,23
94,4
0,28
99,29
96,19
67,22
61,17
43,5
2,7
54,22
30,6
59,27
85,32
74,14
90,11
18,4
52,8
44,27
17,4
36,11
49,18
86,11
37,26
56,30
63,30
35,32
97,19
75,13
57,28
88,12
10,9
53,27
8,2
39,5
47,13
60,4
89,14
51,12
14,28
28,13
16,19
34,30
82,14
46,5
27,30
20,24
9,17
92,17
3,30
98,23
29,3
80,9
73,18
