inputName,size
11,14
19,27
12,16
38,8
81,7
5,14
40,19
70,27
23,4
72,21
79,23
78,21
87,21
6,26
68,23
69,13
1,16
45,20
33,2
15,29
93,13
24,27
25,16
26,22
48,14
71,7
76,8
7,28
50,16
22,12
4,24
32,22
77,30
91,11
42,26
13,14
41,27
55,13
31,4
66,26
65,10
62,31
21,21
95,21
84,13
58,20
64,31
83,4
94,11
0,10
99,7
96,2
67,23
61,16
43,30
2,15
54,24
30,9
59,25
85,16
74,6
90,3
18,27
52,4
44,16
17,15
36,6
49,10
86,6
37,29
56,21
63,9
35,15
97,21
75,3
57,28
88,32
10,5
53,5
8,8
39,21
47,23
60,25
89,28
51,21
14,10
28,2
16,22
34,31
82,15
46,31
27,14
20,9
9,7
92,26
3,11
98,27
29,29
80,14
73,15
