inputName,k
11,245
19,245
12,245
38,109
81,231
5,169
40,127
70,62
23,247
72,62
79,62
78,62
87,231
6,169
68,214
69,214
1,169
45,127
33,109
15,245
93,42
24,247
25,247
26,247
48,127
71,62
76,62
7,169
50,12
22,247
4,169
32,109
77,62
91,42
42,127
13,245
41,127
55,12
31,109
66,214
65,214
62,214
21,247
95,42
84,231
58,12
64,214
83,231
94,42
0,169
99,42
96,42
67,214
61,214
43,127
2,169
54,12
30,109
59,12
85,231
74,62
90,42
18,245
52,12
44,127
17,245
36,109
49,127
86,231
37,109
56,12
63,214
35,109
97,42
75,62
57,12
88,231
10,245
53,12
8,169
39,109
47,127
60,214
89,231
51,12
14,245
28,247
16,245
34,109
82,231
46,127
27,247
20,247
9,169
92,42
3,169
98,42
29,247
80,231
73,62
