inputName,size
11,25
19,20
12,10
38,26
81,9
5,23
40,14
70,24
23,12
72,4
79,28
78,24
87,10
6,20
68,22
69,19
1,15
45,14
33,11
15,19
93,12
24,25
25,5
26,13
48,18
71,6
76,16
7,12
50,5
22,2
4,28
32,8
77,24
91,16
42,8
13,17
41,30
55,13
31,3
66,18
65,16
62,17
21,21
95,14
84,15
58,21
64,11
83,28
94,15
0,12
99,13
96,4
67,15
61,26
43,8
2,7
54,7
30,22
59,8
85,29
74,19
90,17
18,24
52,16
44,7
17,30
36,16
49,20
86,17
37,19
56,24
63,21
35,26
97,23
75,7
57,7
88,19
10,2
53,17
8,23
39,10
47,31
60,25
89,8
51,32
14,19
28,24
16,5
34,13
82,18
46,12
27,2
20,29
9,25
92,3
3,25
98,22
29,14
80,8
73,6
