inputName,size
11,4
19,2
12,9
38,9
81,14
5,16
40,16
70,27
23,8
72,14
79,16
78,30
87,18
6,12
68,31
69,2
1,12
45,27
33,28
15,24
93,5
24,5
25,8
26,8
48,27
71,16
76,19
7,26
50,10
22,18
4,26
32,29
77,9
91,17
42,26
13,18
41,28
55,3
31,26
66,9
65,20
62,27
21,13
95,23
84,13
58,18
64,25
83,32
94,13
0,26
99,29
96,13
67,22
61,23
43,6
2,8
54,6
30,12
59,27
85,24
74,30
90,5
18,2
52,29
44,27
17,7
36,24
49,4
86,12
37,15
56,22
63,10
35,8
97,5
75,6
57,4
88,6
10,28
53,15
8,14
39,30
47,13
60,17
89,20
51,27
14,17
28,6
16,26
34,5
82,21
46,5
27,24
20,31
9,9
92,23
3,20
98,6
29,11
80,15
73,19
