inputName,size,arr[size]
values_11,20,"{-1071075131.116, 932515252.412, -1691530949.394, 795186253.147, 247788597.82, 1430009621.686, -1029500480.673, -1678293593.267, -1475021688.041, -1678740792.413, 2079498360.336, -291081641.943, -1672301162.583, -2043506994.737, 1718920576.946, -1013314392.242, 1602896343.196, 87628176.42, -159230793.998, 1447021101.885"
values_19,4,"{1943488049.405, -1371205657.626, -29276990.833, 373969464.257"
values_12,9,"{873465516.88, 243971298.182, 1601138187.734, -2047330483.237, 148836298.59, -240951295.525, -1445456259.672, 1513217043.559, -1645414061.071"
values_38,23,"{-1406950166.319, -122081509.892, -475203473.244, -1544186057.477, 1831154851.933, -1993928444.975, -1807264263.643, -1708626898.945, 1635940330.53, -2109416763.566, -961911268.69, 654174776.466, 587775192.441, -2130032545.948, -1779889066.013, 64163149.131, -2062359702.373, -1295294963.185, -22411066.076, -1437719876.969, 986395350.392, 398084680.006, -1109529182.455"
values_81,18,"{-1523732401.417, 203195825.887, -1756637006.207, 1141280341.62, 995078354.545, -354205477.267, -1783253556.085, 623838867.983, -1447295294.257, 925737699.036, 1377656340.741, 1599787769.087, -118812725.026, 922930293.2, 1796991777.462, -1743649941.142, 1911031347.447, -514086153.482"
values_5,22,"{1765952392.988, -690631508.306, 1559074755.858, 771939023.504, -167444393.622, -811617530.949, 1954456544.198, 15768624.154, -1428082971.608, 1123906543.163, 1698799215.58, -1711688327.976, 2127920356.396, -251911661.905, 1565388479.384, -626738288.126, 2075584468.919, 504338853.902, 423896705.526, 1408267202.345, -1115623014.195, 1576906321.603"
values_40,30,"{-710467872.643, 398534487.478, 424403979.484, -1897548710.741, -367745319.93, 1442233169.056, 1665771033.818, 993194290.571, 1830829806.927, 454974270.39, 1596468980.383, -956905765.589, -1824990637.279, 1150221258.053, 720296795.369, -613991802.582, -2040500883.793, 475402604.514, -193174503.593, 300200023.753, 809147748.074, 1994831815.706, 897975589.501, 1558283592.485, -825515856.542, -1008818881.447, -193682741.874, 1301617838.121, 1575345708.167, -229513750.938"
values_70,14,"{1747774106.694, 1419052152.001, -1821945852.511, -1656579890.14, -1386335661.066, -1365847222.822, 1300399953.301, -1691873985.233, 1580618866.512, -747113075.689, 1649572543.063, -241445494.954, -736686862.33, -1303241262.537"
values_23,18,"{908515725.233, 752532591.283, 125420557.513, 47098740.347, 1982619507.037, -66361077.965, -1678015401.448, 1977490538.127, -525856892.572, 641936760.526, 1044396964.121, 1466043760.798, -1347485076.519, -1945636026.114, 2075629356.915, -364239270.321, -1258354712.917, 1496190283.414"
values_72,16,"{-399257517.98, 1835183741.41, -1392036142.398, -515811569.155, -660577606.108, -1933938772.96, 2110482531.539, -950882329.989, -163896725.181, 927162262.123, -1185306466.636, -1123782451.253, -1049984770.599, 1886797458.688, -1933754018.412, 911009511.233"
values_79,18,"{-2032371317.312, -1256291448.807, 1048290812.204, 1715244636.163, -1649610168.225, 1006109868.428, 2016194766.39, -1442680447.613, 163558190.113, 2044739636.029, -1173998088.218, -1034812893.247, -425351256.65, 122431033.652, -1341932888.967, -850067529.396, 1459172384.81, -1032571187.871"
values_78,29,"{-336597778.237, 750524553.387, -77581901.698, 1868232022.243, -2103572782.3, 572211251.087, -1834153392.383, -1034535829.13, 472022723.434, -1203403296.712, 32705403.745, -1276768752.682, 575275469.015, 331427374.134, 896055865.822, 988897868.481, -369387389.923, 751741759.722, 739402860.413, -1626786879.679, -171718197.567, 1043646751.304, 1659541325.838, 290353780.489, 442374808.255, 102417935.182, -2013020613.962, -521110726.089, -1041428121.254"
values_87,25,"{-402085063.121, -246119000.949, 1778119216.707, 2009117320.378, 1588476981.133, 347763444.832, 929367348.945, 735432841.979, -1551782573.616, -1389239079.365, 630100687.132, 333076596.187, 1922335735.021, -612789017.197, 993418668.146, -245673474.33, 1771772873.905, -811413572.459, 1990211168.489, 1283316462.47, -54835353.037, 663714243.158, 588703902.282, 597787117.419, -459654221.256"
values_6,18,"{-37714498.647, -1836919655.142, 1482810061.827, 346957693.531, -1021438378.33, -1863368689.121, 1528603221.442, 1569541135.018, -1470526288.013, 2128277344.853, 1162893716.33, -1036812543.949, 860546428.841, -942335105.019, 1460656449.973, 764129463.085, -60615727.312, 1744242660.145"
values_68,30,"{-865744676.095, 399148894.01, 976888867.996, -385387931.593, -1809411276.157, -1848055346.039, -1744468767.453, 598726508.646, 986382642.012, -1074209479.875, -1049389266.823, -1444100557.112, -383106813.514, -1306689364.693, -1927212134.845, 636889628.469, -888261209.678, -2029203516.517, -374447430.658, -924116167.759, -1374442121.826, -1547046786.613, 164774908.931, -327551424.114, 587883530.291, -62204749.072, -1720211527.636, -652979730.46, -89950593.49, -1372453505.713"
values_69,14,"{-1738271936.596, -1424118299.031, -1409531649.832, -1161831234.135, 2064208066.954, -1395435301.389, -1615477622.118, -1927422468.959, -495424991.98, 2119261693.809, -918762483.825, 1471012469.849, -2017929644.369, 1234331982.862"
