inputName,k
11,17
19,17
12,17
38,68
81,18
5,140
40,60
70,224
23,102
72,224
79,224
78,224
87,18
6,140
68,164
69,164
1,140
45,60
33,68
15,17
93,143
24,102
25,102
26,102
48,60
71,224
76,224
7,140
50,62
22,102
4,140
32,68
77,224
91,143
42,60
13,17
41,60
55,62
31,68
66,164
65,164
62,164
21,102
95,143
84,18
58,62
64,164
83,18
94,143
0,140
99,143
96,143
67,164
61,164
43,60
2,140
54,62
30,68
59,62
85,18
74,224
90,143
18,17
52,62
44,60
17,17
36,68
49,60
86,18
37,68
56,62
63,164
35,68
97,143
75,224
57,62
88,18
10,17
53,62
8,140
39,68
47,60
60,164
89,18
51,62
14,17
28,102
16,17
34,68
82,18
46,60
27,102
20,102
9,140
92,143
3,140
98,143
29,102
80,18
73,224
