inputName,key
11,13
19,10
12,30
38,12
81,13
5,15
40,24
70,24
23,16
72,30
79,10
78,12
87,16
6,19
68,12
69,10
1,13
45,15
33,16
15,15
93,16
24,9
25,15
26,19
48,12
71,13
76,19
7,16
50,24
22,30
4,9
32,30
77,16
91,13
42,30
13,16
41,13
55,15
31,13
66,19
65,15
62,30
21,13
95,15
84,9
58,12
64,9
83,16
94,9
0,24
99,10
96,19
67,16
61,13
43,16
2,30
54,9
30,24
59,10
85,15
74,9
90,24
18,12
52,30
44,9
17,16
36,19
49,10
86,19
37,16
56,19
63,16
35,15
97,16
75,15
57,16
88,12
10,24
53,16
8,12
39,10
47,16
60,24
89,10
51,13
14,9
28,12
16,19
34,9
82,30
46,19
27,16
20,24
9,10
92,30
3,16
98,12
29,10
80,24
73,16
