inputName,size,arr[size]
values_11,16,"{4085586586314509252, -2238114654499032707, 2623216943811365544, 2132819919157849302, -6862098040636418828, 3320973488255900688, 8547332536905225318, 8006627854046708234, 935014581656485396, -6948012535656730703, -774557945764507553, 5894671238428353346, -2069035854153104832, -6730009870400036631, 6857214662908245727, -5417985755019882472"
values_19,5,"{8593937468501370342, -2525737499151101194, -2308047403719148914, -2748939429315327863, 5369822837699700188"
values_12,3,"{-2800580905475065364, -5366598940401489837, -554159299025277456"
values_38,20,"{2675372000699109657, 2048003471503191827, -7653931331621566936, -7851931845267312306, -6912751931693582250, -5978384010646019188, -5101566102215138619, 1419844546750022781, 400354550926920245, 2708505500703172166, -1131752734681173439, 2741981540846432978, -3118774168276605477, 1611580106424941681, 3633020891263253801, 26205953571286787, -1056832088766453357, 8029306534320489678, 9086663610977479906, -2176807241368501426"
values_81,7,"{8099798437732018842, 4304460566163297601, 7685054065219742135, -3693424849681708373, -1837356068344003183, 1873460441044528251, -1743590605405011289"
values_5,9,"{-326133827484912595, -5036893749888333047, 7002597499009741179, 1297401815659063796, 4997412732962652248, 6720225662526612377, 3516793770618472095, 1676586222776516992, -3837863423700692271"
values_40,19,"{-4087438388589279100, 5194070720045333642, -4293650754274177255, 1418064852125572623, -8721883609333005196, -5134495554977148553, 3511308948514219881, -282812800056057489, -3498933919543604046, -7964887503411627940, 1405659064742147604, 4171076595321507600, -4835642592797445015, -6409615093362484175, -4949190135728289327, -4187717666140420068, 104230164775992191, -2381663871367488972, -2889721543970843165"
values_70,13,"{2539366696047020625, -4544155211240654361, 5664640863416723582, 1880757771321242657, -1514179481909002767, -3529506554220646218, -211134050396231317, 2435361098507787092, 8171414288348667338, 3210520032902737080, -8156755325025830023, 6397178401090046864, -9052763163285575091"
values_23,29,"{-7256264052655803566, -7746451657660612177, 4351856086423630401, 8027298377337052070, -8065177870929185892, -2910771239820250734, -2656899590052089973, 8894092324364870967, 4934206339822523016, 5794991747064528280, 7793959996107206711, 8062516199302061898, 7037363171169226877, 3719737863048283594, 4026888908802382094, 7416534272727196864, 5307914839751813516, -6225608451672582129, -1217130102411133642, 6789719302802097080, -8632320169788338655, -4979378203576509753, 7258247096081154951, -5528224770585016874, 4658816101503107720, -2818980010091385792, 8587316006883253369, -8811071316430697848, 515604291885299537"
values_72,11,"{1984992166180036239, -4818188595280187118, 3557483026775489433, -8635743053026297389, 2879068994276147501, -796782241699656418, 112469748675386664, -2933476043101339725, -3186187047588849163, 4550098401411929656, -7249764651126597794"
values_79,3,"{799806599675436857, 2454680295024610981, 2512712146021040114"
values_78,2,"{-3535777898833889153, 4742283802481527055"
values_87,9,"{-8054302529064233122, -6193013631249452831, 748037552030913056, -2317454147432874949, 6333477451123606672, 1097017101357555684, 6664140023520792732, 3362388230601330452, -2516702588992926017"
values_6,3,"{7047321120820258195, 2329856278422126302, 2822947123769305771"
values_68,27,"{4821491565111608977, 177638359659161844, -527771397677600962, 3554475696773373262, 9013969001837790253, -353962880202102723, -5801628387576169218, -7666436227691519692, 8988178119846691764, -6568710250911657255, -8850447840687591386, -6318061132249101110, -3243986698270672038, 4726673244025530733, 1747723615905286818, -9097515650561850514, 7126866169375160344, 2475419570369054460, -7563715999422357304, 8535814962120581255, 1661768148580946560, 3172755623652538974, -2268187536539155335, 619916071251387636, -7411892869340483633, 7372680572266951519, 2797298900669779822"
values_69,9,"{1952883557761876336, -1602213727879432898, 8170374354953476387, -99934601876766492, 5118886537459205700, 4942802401986909063, 2046289815967982974, -3015137707701870188, 3286964380819357641"
values_1,30,"{5144675869376824606, 9215177108141688399, -1439737216529823793, 6917708678147060151, 5543007349712120191, 5411327274743285828, -3219249941522571353, -2366492759257381031, 3660699015596708181, 5034892224188211842, 216825868866221676, -312882122907745942, 992073901884504005, -7867324811748154461, 3880881858793126217, 5336637513349989325, 4923408667602494766, -622837223621273812, -8229719038742074028, -1716566434158141594, -9050481442390817294, -4371579552356020558, 6767707855560384626, 1429740896546418956, 2656217566135630803, 3375456650473711828, 8074361475848752128, -1958936437989652728, 6154022964675736700, 4501769585356008456"
values_45,19,"{4679947460675759240, -3896090736799413771, 4538482487851886795, 4232211579431868483, -9056260225245853490, 665724168876128728, 1085764779332359232, -4721098120563233976, -8812925601199431168, -833712811426121759, -873915048505518845, 2123416697635572884, 7988169763693067442, -2592378373818255225, 6792793681138782483, -3664853228865206712, -6346374404542885629, 2258199686934660691, -7571887351749265929"
values_33,13,"{7444921898642534007, 8601485093472480237, -2580762415437985585, 5008814314515666978, 2259478143621831163, 3067686533193824320, 352759014782973856, -5364888608770109466, -4891092108570247282, -125391660500662818, 1988455356662202376, 3386731967528301971, -4773881757540246884"
values_15,5,"{-3835089716294644456, -3043983566404865857, 3398698974358287391, 4278499814373765930, 6319996008212112744"
values_93,14,"{6091425673127833686, 1075548785606677896, -7916104175683772036, -1428033603413105000, -2832694631549152563, 282524232890971429, 8961797008423920856, -1068597194175208755, -7727943937367688512, -4847562718831743669, 4643346028103963380, 3211031540312995851, 2664414452369759086, -35834956200253377"
values_24,19,"{7517165977829109923, -3651228046410011584, 3348179750139146227, -827067113921180212, 7242266434535445079, 7047425861445482115, -2491372859680496529, -7778264275448578622, 8101367979110511942, 5575590554038712700, -8265609886991972280, 5880274348735225093, 2060739274605219680, 5650728248292878545, -3984582443691218151, -5889468821479803462, 5526720197815069699, 5547044059090832540, 1310806071819984711"
values_25,6,"{4433184270843739025, 7080953368477679576, -2658023135156742631, 9205037401898083403, 162257866065121338, -8432346230162782607"
values_26,27,"{-33495228721453147, 7567057082051747278, -4453775339273972708, -874129919537604812, 4304483051473080859, -8818099068374542471, 8165612322204093097, 731111140648582514, -4911007837930779209, 5392644518683547210, 8913545239335986658, 1086837538717006982, -2896700931342740239, -1359373393026507133, 3033994889350869696, -7686127316609564848, 8626756666694983245, 6248116311306471327, -6181758491325874103, 5569420292814613080, -3147511617137977794, 7499953792276444025, -6168269717451983703, -6328922918913251200, -8858617972871171521, 7015780765410894962, 1102377680975325913"
values_48,22,"{-4315321030339446125, 5189128415995092073, 5060773772386299920, 2311615293337189542, 3343807964444436565, 6551615657945785341, -600953678715668868, -6320723123297740489, -1634777370226001362, 8418675614338504195, 4723524307536403924, 1251283513836812134, 8108119164310997725, 3608528614974819308, -1308746673355084087, 4689354371300343655, -4160657325130847440, 7040072081818829944, -3386006169761081230, -5891965182029183261, 9133741681167683690, 5740147412735507794"
values_71,4,"{-6129744789719080422, -2607750847349697879, 6612855099259287672, 4358382585815107545"
