inputName,n
values_11,67
values_19,106
values_12,40
values_38,24
values_81,20
values_5,2
values_40,16
values_70,69
values_23,105
values_72,2
values_79,97
values_78,5
values_87,10
values_6,56
values_68,115
values_69,70
values_1,127
values_45,104
values_33,91
values_15,71
values_93,102
values_24,76
values_25,72
values_26,96
values_48,70
values_71,13
values_76,35
values_7,61
values_50,25
values_22,13
values_4,19
values_32,36
values_77,116
values_91,93
values_42,89
values_13,47
values_41,107
values_55,126
values_31,50
values_66,42
values_65,4
values_62,80
values_21,87
values_95,11
values_84,23
values_58,38
values_64,57
values_83,35
values_94,70
values_0,85
values_99,6
values_96,98
values_67,107
values_61,8
values_43,46
values_2,57
values_54,9
values_30,86
values_59,113
values_85,23
values_74,29
values_90,17
values_18,93
values_52,13
values_44,94
values_17,125
values_36,114
values_49,112
values_86,100
values_37,64
values_56,63
values_63,86
values_35,48
values_97,32
values_75,94
values_57,41
values_88,9
values_10,45
values_53,20
values_8,53
values_39,74
values_47,37
values_60,78
values_89,70
values_51,94
values_14,53
values_28,13
values_16,116
values_34,68
values_82,106
values_46,50
values_27,77
values_20,103
values_9,116
values_92,105
values_3,34
values_98,19
values_29,12
values_80,75
values_73,69
