inputName,nn,isign
11,4,1
19,4,1
12,4,1
38,3,1
81,2,1
5,2,1
40,2,1
70,3,1
23,2,1
72,3,1
79,3,1
78,3,1
87,2,1
6,2,1
68,3,1
69,3,1
1,2,1
45,2,1
33,3,1
15,4,1
93,2,1
24,2,1
25,2,1
26,2,1
48,2,1
71,3,1
76,3,1
7,2,1
50,3,1
22,2,1
4,2,1
32,3,1
77,3,1
91,2,1
42,2,1
13,4,1
41,2,1
55,3,1
31,3,1
66,3,1
65,3,1
62,3,1
21,2,1
95,2,1
84,2,1
58,3,1
64,3,1
83,2,1
94,2,1
0,2,1
99,2,1
96,2,1
67,3,1
61,3,1
43,2,1
2,2,1
54,3,1
30,3,1
59,3,1
85,2,1
74,3,1
90,2,1
18,4,1
52,3,1
44,2,1
17,4,1
36,3,1
49,2,1
86,2,1
37,3,1
56,3,1
63,3,1
35,3,1
97,2,1
75,3,1
57,3,1
88,2,1
10,4,1
53,3,1
8,2,1
39,3,1
47,2,1
60,3,1
89,2,1
51,3,1
14,4,1
28,2,1
16,4,1
34,3,1
82,2,1
46,2,1
27,2,1
20,2,1
9,2,1
92,2,1
3,2,1
98,2,1
29,2,1
80,2,1
73,3,1
