inputName,size
11,5
19,5
12,16
38,29
81,25
5,32
40,27
70,6
23,8
72,22
79,15
78,3
87,20
6,7
68,15
69,3
1,13
45,7
33,19
15,27
93,10
24,9
25,21
26,19
48,2
71,5
76,30
7,5
50,15
22,21
4,27
32,31
77,13
91,19
42,3
13,12
41,8
55,8
31,26
66,13
65,10
62,12
21,19
95,24
84,16
58,4
64,31
83,7
94,21
0,23
99,4
96,15
67,26
61,25
43,13
2,7
54,6
30,4
59,7
85,7
74,25
90,20
18,19
52,19
44,10
17,28
36,15
49,11
86,3
37,32
56,14
63,20
35,8
97,31
75,17
57,31
88,18
10,32
53,8
8,2
39,30
47,15
60,32
89,26
51,14
14,3
28,26
16,29
34,6
82,12
46,16
27,2
20,15
9,23
92,26
3,24
98,13
29,14
80,31
73,27
