inputName,k
11,6
19,6
12,6
38,179
81,243
5,118
40,137
70,184
23,85
72,184
79,184
78,184
87,243
6,118
68,129
69,129
1,118
45,137
33,179
15,6
93,253
24,85
25,85
26,85
48,137
71,184
76,184
7,118
50,221
22,85
4,118
32,179
77,184
91,253
42,137
13,6
41,137
55,221
31,179
66,129
65,129
62,129
21,85
95,253
84,243
58,221
64,129
83,243
94,253
0,118
99,253
96,253
67,129
61,129
43,137
2,118
54,221
30,179
59,221
85,243
74,184
90,253
18,6
52,221
44,137
17,6
36,179
49,137
86,243
37,179
56,221
63,129
35,179
97,253
75,184
57,221
88,243
10,6
53,221
8,118
39,179
47,137
60,129
89,243
51,221
14,6
28,85
16,6
34,179
82,243
46,137
27,85
20,85
9,118
92,253
3,118
98,253
29,85
80,243
73,184
