inputName,size,arr[size]
values_11,14,"{4542244541187495063, -6161861775947501402, -1373859358180631527, -7171578731118476273, -5838458649788179962, -450444328798982319, 1120815019493379696, 8671210741226214613, -6013524418418156631, -1900894234552234535, 417194014854176132, 3278876086038854813, 561723328992079480, -1967709193057641101"
values_19,13,"{868190836363000040, 4027673735588291696, 1820466897359603910, -1141468898177055294, -1066235971017854534, 7620507294275819459, -4811679864708299536, 4524330172889467525, 556261410059748399, -9013688988433691307, 7095528427072199363, 7898177297368345262, 1103801066315978539"
values_12,29,"{3711530954524059468, -1125385962575490733, -7757774268652942983, 8233921185025764766, 8190890191303206300, -6339768538789356361, 240068783615270864, 4720541644090851088, -2938823518661574622, -9134338241403360158, 1887953814926853221, -4594275604231336960, 6308695174642132847, 6557657176267162476, -3204952012079258612, -8646502251926314928, -8799165010557381360, 6446207807254730119, 4405093657502432717, -53562487063649653, 5246874261716864826, 5523329547227820928, -7155398824514417036, -9190047339583939376, 323666400441693289, 5841334739786982134, -7699404132158061106, -1714397240242147183, -5631529599349565916"
values_38,16,"{-6745569351348146855, -5835040721736056331, -179180017661638975, 7144469666747218447, -7344492498326048694, 6950877840144001540, 8222048135726361827, 1843889672080123047, -2739312141205108753, 2681766307370469375, 2288927720059971866, -7717064986734268533, 7177758664520210088, -5598114129702299056, -1640740678094350852, 1972317643727606272"
values_81,11,"{2520908811676241000, 2764141216452230130, -2221121672900754718, -3413499569054497647, 6496702578729684685, -1533305942834268425, -2395613978017644346, -6250160861148618630, 3866885795596779750, 8694068794301491971, -4401081469256078997"
values_5,25,"{-8516121769768691091, 3440617526130124799, 8035491062537454939, -1938489361723387637, 7327104280015204396, -866179432603415572, 3269944204404811075, -7190557953666093886, 945387106378571802, 2049370744605227012, -386213962247699747, 2137855075662470926, -6621310940159853915, -8766387424819326722, 7377286509883112328, -2260997172789585521, 3656974877657334418, -6639362794087910436, -5361909019480446893, -7136280546299886768, -4684567787362901269, -3283730044306558363, -8869297033317505378, 2728295557066820593, -6436821068668815260"
values_40,11,"{8756642159171239826, -8816559216772454578, 4276059398595302391, -7010736415215829551, -7576496108368152622, -4254871118212167374, 9215557959983636351, -7791817637519132637, 6952230358690961014, 8433072275479854605, 3023530250218986584"
values_70,5,"{-1413768012695276971, -6980677186358173873, 3775330333420026015, -4829114723491655837, -2193219302866910344"
values_23,29,"{1149764139267982696, -4375748112360719786, 9060295821557268115, 3811380672719449457, 8641463970918688313, 7597972045355273667, 5642364365212443529, 3576285943859598378, -1954254449095629943, -8808006062216918826, 789008056187234606, -6786168572085565482, 576267734275336565, -179649428980094645, -8778989058512711860, 3521060045345529843, 6799600911118893029, -6882320512750803792, 2645919230904467841, 7390716422301306511, -2177374858455601880, -7429988803258765321, 4305444359338720372, 334986518967126907, -2441095535068440426, -3557751272891779463, -3281260401869692765, -8124836723552850763, -5316592299022848210"
values_72,16,"{6516117641215607620, -797007587608057811, 7507412354264249690, 455622634463586882, -3971828476399348360, 8599213219243650429, -1514284812884951010, 5929935838628870933, -5787779501611142666, 8305688731636875349, -3599218593439076089, -498034404257616575, -1547760219302691728, 3368818773843810750, -499193452341505774, 8864128598471880213"
values_79,15,"{659690139776989224, -2863673049764081625, 5139954936581322390, -1778017904986280218, -7978400903084628555, 2077238068933805578, 3599285556516492918, 7830943698975785121, 3181546212457951221, -1593878294394506682, -422951899449378044, 9122470789577093525, 8366457550012028390, -5989541571586886924, 7064166300610254571"
values_78,24,"{-7823280700477961342, -8015241295500691232, -5196524744667038334, -6385530254852125276, -9064508788319354163, -7886351218751506136, 198280256283140350, 5395659446192724936, 5680561431009748989, 4904518384195248758, 8540541250331323882, 1724937399684231654, -9218818835497014738, -6734739188173117088, 5527278667137321695, 2203277119555124453, 5149221576212064099, -2742273228353923713, 7592419285070320565, 5672672858140005868, -2218768182631554956, -8229136241274494687, 4351477879969186656, 325629094019466550"
values_87,4,"{8191530582230635547, -7234523080504803844, -348512216171572123, -5751587288899890267"
values_6,2,"{7569606699511510044, 1884063479266245892"
values_68,25,"{9107498058324117087, -6750206867096942033, -179596652899473853, 8012869916408794625, 3025576446731844185, -226447931183876311, -9053915080422101825, 1237290616482286123, -2705109100030433054, -2527594701572450007, -8215837540990048446, 7606242664904521587, 362721623377094839, 3200496399521202048, 472362952658167018, -1179070820742079968, 8889628776718571292, 9008584116258805903, 5570924520648381768, 596873561916019002, 7000095838701296788, 59150829709389824, -4615208944766334473, -8642588553980821690, -816988919217885808"
values_69,21,"{2222005799413636073, 7366064296149739179, 4733205005980200096, 4968560694606063616, 5138658411469649959, -5501579433429340756, -5456638955398370704, 8205818038838903195, -384879844109413601, -78381446331072486, -6913073591449103271, -8917303033078934212, -2544149967327674351, 8187307327932031275, 2740050144756290086, -4266816176018017940, 1645840154188182537, 5368749071250243454, -7490486552259655526, -9047015374952151018, -4558595278525551139"
values_1,29,"{8870067479682965401, 6048123415329912399, -6563634010483407834, -3749033082392004816, -2526569036838846110, -8565028940493520832, 8713434082632679154, 8493351914569906234, 9016047352110226201, 408128190947104325, -1844905918983698781, -1605124515599970659, 5783139073414078104, -824148361100134351, -4735386367544847017, -423125153649733387, 7837019736038585022, 1232296735847025173, -2883381336707784306, -6621679637092500281, -545293909661368821, -3248851270248605971, 2338170789553319064, -3957745959545476552, 8789852383752825349, 3051667045606834308, -501876866083427062, 5873887239575506191, -5591742668916046670"
values_45,9,"{6425799192468477782, 2538065767617951310, 5694851005922791461, -8665077051302299272, 3114459135095797647, -5218963316871007024, 4037883272397293359, 4582616449150044364, -868076853819573015"
values_33,3,"{2727705731609474799, -1474336293024507751, 2452200683290893904"
values_15,7,"{-3424913376902566430, -3071700354168801074, 5552541237803169540, 8597598470642046441, -8743690132804594407, -8235128545021797681, -4146052819430068436"
