inputName,nn,isign
11,2,-1
19,2,-1
12,2,-1
38,2,-1
81,6,-1
5,2,-1
40,4,-1
70,10,-1
23,10,-1
72,10,-1
79,10,-1
78,10,-1
87,6,-1
6,2,-1
68,3,-1
69,3,-1
1,2,-1
45,4,-1
33,2,-1
15,2,-1
93,5,-1
24,10,-1
25,10,-1
26,10,-1
48,4,-1
71,10,-1
76,10,-1
7,2,-1
50,9,-1
22,10,-1
4,2,-1
32,2,-1
77,10,-1
91,5,-1
42,4,-1
13,2,-1
41,4,-1
55,9,-1
31,2,-1
66,3,-1
65,3,-1
62,3,-1
21,10,-1
95,5,-1
84,6,-1
58,9,-1
64,3,-1
83,6,-1
94,5,-1
0,2,-1
99,5,-1
96,5,-1
67,3,-1
61,3,-1
43,4,-1
2,2,-1
54,9,-1
30,2,-1
59,9,-1
85,6,-1
74,10,-1
90,5,-1
18,2,-1
52,9,-1
44,4,-1
17,2,-1
36,2,-1
49,4,-1
86,6,-1
37,2,-1
56,9,-1
63,3,-1
35,2,-1
97,5,-1
75,10,-1
57,9,-1
88,6,-1
10,2,-1
53,9,-1
8,2,-1
39,2,-1
47,4,-1
60,3,-1
89,6,-1
51,9,-1
14,2,-1
28,10,-1
16,2,-1
34,2,-1
82,6,-1
46,4,-1
27,10,-1
20,10,-1
9,2,-1
92,5,-1
3,2,-1
98,5,-1
29,10,-1
80,6,-1
73,10,-1
