inputName,n
values_11,680012841
values_19,1765494714
values_12,1888806632
values_38,578012011
values_81,423731518
values_5,1102850048
values_40,1101297472
values_70,666729509
values_23,599604432
values_72,392266830
values_79,555629472
values_78,1292908432
values_87,829138100
values_6,1342398493
values_68,716942354
values_69,361190769
values_1,2101765379
values_45,291701819
values_33,1704923572
values_15,680233354
values_93,1538763080
values_24,1254108234
values_25,1068681855
values_26,1305962780
values_48,746963287
values_71,920944410
values_76,1546442737
values_7,722436099
values_50,4880620
values_22,471895776
values_4,758979782
values_32,114486538
values_77,1927761091
values_91,1603726042
values_42,2078793983
values_13,1477465287
values_41,2133712311
values_55,19385254
values_31,369103714
values_66,1395668341
values_65,468185951
values_62,1389850701
values_21,1452935512
values_95,1997881333
values_84,2128754236
values_58,175039203
values_64,1504658483
values_83,788261410
values_94,1919031947
values_0,635583871
values_99,2045081679
values_96,2112870939
values_67,281147039
values_61,1846991031
values_43,13600061
values_2,1466170833
values_54,434525649
values_30,1215838595
values_59,1022030360
values_85,2042942665
values_74,6788396
values_90,1040721809
values_18,760382220
values_52,1592021997
values_44,1530023625
values_17,1584534763
values_36,636248822
values_49,157559396
values_86,279960638
values_37,631139098
values_56,42269595
values_63,287186281
values_35,1122387516
values_97,1637230144
values_75,163579407
values_57,673509854
values_88,861282899
values_10,2079236489
values_53,1937966656
values_8,1665441793
values_39,707032257
values_47,207969129
values_60,837789263
values_89,357026661
values_51,1436400304
values_14,316407469
values_28,121053788
values_16,1394127515
values_34,1179498717
values_82,447985177
values_46,2133727898
values_27,1771241910
values_20,538590078
values_9,955598647
values_92,1017827535
values_3,140392273
values_98,638683251
values_29,323109539
values_80,146098716
values_73,902157118
