inputName,k,size,arr[size]
values_11,115,5,"{-974692857, -988723847, -48051203, -608324410, -362392139"
values_19,115,12,"{1356826974, -1369097152, -1216798555, 877497627, -125470382, -313317544, -567135160, 1698686545, -755015963, -192345003, 694083064, -323191003"
values_12,115,26,"{616936874, -971826059, 1991258971, -14767879, -1844584190, -1346533002, -33437074, 49544573, -1217064878, 914543437, -564605750, 1644395985, -334823621, 168345614, -86794740, -1118946589, 468879493, 2050315019, 1619961124, 393173769, 344482453, 1076989443, 1122594708, 298617213, -416964064, -1438943021"
values_38,13,16,"{1100284144, 1803154655, -740353202, 1107642392, -833294783, 933294229, 380744397, 1895065890, 1873450998, -311226539, -1020026464, 386872973, 938716550, 159525972, 1284178454, 432607579"
values_81,2,5,"{-1338137088, -1720514775, -1812247978, -2130735430, 1746757402"
values_5,134,18,"{1872194905, 100046145, -1776656891, -1316085726, 1153655681, 1535164259, 863242126, 1612422314, 679397027, 727127935, 926333034, -1845091012, -153570402, -1266229753, -327568674, -71338926, 1049620263, 1458114185"
values_40,107,31,"{1466552131, -1097891216, -666623433, -5139904, -1389915001, -2074329624, 1160847902, 1262243089, -2092810028, 160165027, 1067892830, 940618611, 905303405, 152027685, -303524621, 1552295549, 1029141444, -1283142053, -1842434219, -421407393, -1395045573, -1311633277, 1829949221, -66317666, 546795142, -18173339, 1035678937, 843076335, 621709724, 1943832418, 118434352"
values_70,12,31,"{1351812122, -933414126, -400987377, -486825314, 1008321256, 564161455, -1849282881, -433898475, 1554468698, -1532911746, -1367649935, -1487754356, 2117991425, 1743620988, -1413200068, 1373998339, 114870360, -673286839, 800793896, 2054143115, 132382647, -1893092996, 2084080153, -162765390, -649517880, -1802486838, 1272766936, -933816997, 1793675010, 594098647, 1393329442"
values_23,102,10,"{-974042272, -435485631, 1202686947, -284955317, 30895780, -1658670495, 987015477, -998829429, 2023872608, -2065175761"
values_72,12,26,"{1797463347, -1870065325, 770882560, 1542274352, -1091788603, 271601547, -1406696970, 608086049, -1586208896, 916049331, 712225229, 724557120, -1081093103, 927725091, 858106414, 942402497, 123367767, -758937864, -805853256, -283861228, 2028406485, 1195364455, 1261476040, -902191801, 139941398, 341398386"
values_79,12,12,"{-1637247314, -1157438397, 806377236, -1515673908, 186238571, 1168882731, 375552252, 1358544484, -186447281, -471850915, 741353327, 84986595"
values_78,12,16,"{870188404, -819080579, 1915974326, 1481138203, -368297946, -948818614, 435327690, 1391990546, -429184870, -729717901, -2083978593, 785488906, -1251688956, -1729586843, -1265974646, -1811629984"
values_87,2,11,"{2081020718, -1206323091, 361773929, 564050459, -2142650379, 1946453898, 214457183, 177906461, -1254983733, 1044499006, -971887101"
values_6,134,22,"{-915412688, 55659515, 942516548, -1605314036, 5329695, -473893885, -1793244584, 1629364722, 619174621, 1992972930, 1560113898, 979197237, -627651211, -990863430, -109070993, -317694112, 2018389017, 783252100, 1443742805, -1070344540, 2062041631, -715881103"
values_68,227,16,"{-2023335605, -1110909097, -1654910504, 840252755, 875000004, 195128774, 1705228131, 1109476794, -1233310277, 1125710337, -1746768366, 873368717, 939018178, -1481840521, 1549987441, -1971325530"
values_69,227,12,"{-375392665, -549762340, 683600222, 837462771, -1924462682, -1888747511, -1724111840, 1903410597, 789678584, -1187662196, -152760414, -1759186843"
values_1,134,5,"{-371875751, -2136059181, 2021429853, 1793175053, -558747195"
