inputName,size
11,9
19,5
12,15
38,11
81,24
5,29
40,10
70,6
23,8
72,6
79,15
78,5
87,11
6,27
68,4
69,16
1,3
45,23
33,22
15,24
93,23
24,29
25,17
26,16
48,30
71,12
76,10
7,8
50,19
22,8
4,2
32,11
77,20
91,28
42,17
13,21
41,10
55,30
31,27
66,8
65,6
62,10
21,31
95,17
84,28
58,4
64,27
83,28
94,12
0,20
99,31
96,20
67,30
61,26
43,16
2,20
54,10
30,20
59,27
85,14
74,30
90,29
18,26
52,7
44,24
17,8
36,8
49,3
86,32
37,6
56,14
63,10
35,25
97,4
75,13
57,8
88,16
10,22
53,9
8,19
39,7
47,30
60,28
89,18
51,18
14,32
28,2
16,23
34,19
82,7
46,24
27,18
20,16
9,15
92,7
3,14
98,16
29,4
80,30
73,12
