inputName,k,size,arr[size]
values_11,17,25,"{-32, 78, 108, 78, 62, 31, -111, -13, 56, 111, -89, -81, 50, -63, -75, 103, 16, -39, 22, -77, -91, -96, -94, 5, 97"
values_19,17,22,"{94, -57, -117, 83, 15, -11, -24, -68, -96, -34, 75, 28, -83, -107, -53, 113, 1, 117, 25, -8, -52, -22"
values_12,17,16,"{-45, -23, 3, -15, 93, -6, -95, -17, 17, -43, 58, 112, 45, -1, 30, -72"
values_38,68,19,"{-15, 59, -24, 32, -86, -9, 91, 89, -23, 18, 1, 53, -56, 111, -100, -126, 36, 3, -29"
values_81,18,25,"{-54, 26, -74, 33, -82, -29, -88, 65, 59, -31, 71, -110, 52, -31, -10, 94, 5, -38, 80, -5, -125, -39, 34, -21, 106"
values_5,140,6,"{9, -29, 61, -91, -114, 50"
values_40,60,12,"{-7, -112, 60, 91, 80, -25, 118, -33, 63, -87, -39, -67"
values_70,224,12,"{-105, -23, -107, -85, -74, 65, -79, -30, -7, -45, 23, 113"
values_23,102,29,"{18, -21, -51, -98, -49, -67, 16, -106, -94, -19, -100, -120, 75, -32, -48, -100, -59, -27, -53, -40, 62, 86, -53, -30, -109, 33, -96, -35, -110"
values_72,224,16,"{-11, 5, 39, -113, 113, -86, 21, -116, -55, 10, -88, 62, -11, -6, -86, 96"
values_79,224,22,"{-119, 56, -62, 103, -120, 2, 102, 99, -28, -36, -123, -40, -4, -84, 72, -107, -53, 67, 5, 104, -103, -79"
values_78,224,19,"{-3, -6, 100, -65, -41, 81, -104, -120, -22, 123, 58, -95, -82, 107, -65, -9, -29, 49, 84"
values_87,18,12,"{105, -117, 71, -104, 125, 92, 17, 43, -23, 6, -51, -87"
values_6,140,20,"{-5, -27, 27, 119, 15, 10, 5, 27, 95, -103, -110, 20, -31, -117, 20, 32, -51, -56, -27, -35"
values_68,164,19,"{-77, 71, -7, 107, -44, -94, 47, 17, 95, -17, -61, 61, -47, 125, 46, 97, 65, -124, 4"
values_69,164,22,"{-35, -45, -110, 28, 68, -71, -109, -43, -79, -106, 40, -60, 89, 11, -116, -18, -76, -99, 109, -63, -44, -75"
values_1,140,25,"{53, 86, 39, 81, 30, 119, 27, -34, 35, -21, -97, -19, -43, 9, -123, 101, -28, -79, -89, -101, -36, 82, -123, -70, -77"
values_45,60,6,"{-37, -56, -39, -4, 89, 25"
