inputName,n
11,10
19,19
12,7
38,4
81,17
5,5
40,20
70,4
23,17
72,2
79,8
78,31
87,32
6,19
68,15
69,30
1,17
45,32
33,9
15,24
93,5
24,31
25,23
26,18
48,32
71,17
76,20
7,3
50,7
22,19
4,23
32,8
77,10
91,4
42,26
13,4
41,7
55,17
31,23
66,26
65,10
62,32
21,30
95,31
84,23
58,4
64,20
83,11
94,13
0,18
99,15
96,30
67,20
61,20
43,18
2,26
54,27
30,24
59,32
85,17
74,17
90,13
18,31
52,9
44,27
17,4
36,5
49,16
86,9
37,19
56,11
63,25
35,11
97,23
75,10
57,17
88,29
10,6
53,27
8,2
39,3
47,10
60,20
89,8
51,24
14,5
28,3
16,8
34,26
82,10
46,8
27,24
20,25
9,18
92,15
3,19
98,25
29,32
80,16
73,15
