inputName,nn,isign
11,1,1
19,1,1
12,1,1
38,4,1
81,3,1
5,3,1
40,1,1
70,1,1
23,2,1
72,1,1
79,1,1
78,1,1
87,3,1
6,3,1
68,1,1
69,1,1
1,3,1
45,1,1
33,4,1
15,1,1
93,3,1
24,2,1
25,2,1
26,2,1
48,1,1
71,1,1
76,1,1
7,3,1
50,1,1
22,2,1
4,3,1
32,4,1
77,1,1
91,3,1
42,1,1
13,1,1
41,1,1
55,1,1
31,4,1
66,1,1
65,1,1
62,1,1
21,2,1
95,3,1
84,3,1
58,1,1
64,1,1
83,3,1
94,3,1
0,3,1
99,3,1
96,3,1
67,1,1
61,1,1
43,1,1
2,3,1
54,1,1
30,4,1
59,1,1
85,3,1
74,1,1
90,3,1
18,1,1
52,1,1
44,1,1
17,1,1
36,4,1
49,1,1
86,3,1
37,4,1
56,1,1
63,1,1
35,4,1
97,3,1
75,1,1
57,1,1
88,3,1
10,1,1
53,1,1
8,3,1
39,4,1
47,1,1
60,1,1
89,3,1
51,1,1
14,1,1
28,2,1
16,1,1
34,4,1
82,3,1
46,1,1
27,2,1
20,2,1
9,3,1
92,3,1
3,3,1
98,3,1
29,2,1
80,3,1
73,1,1
