inputName,idum
11,103
19,47
12,26
38,-6
81,-11
5,-65
40,-50
70,-85
23,-27
72,-38
79,6
78,-39
87,-61
6,-126
68,-85
69,112
1,32
45,13
33,106
15,-21
93,15
24,-97
25,-14
26,68
48,113
71,77
76,-16
7,100
50,-20
22,-54
4,74
32,-113
77,-69
91,-57
42,86
13,41
41,110
55,-112
31,11
66,-16
65,95
62,91
21,-79
95,-36
84,-16
58,114
64,110
83,-78
94,65
0,40
99,-57
96,-128
67,-52
61,-36
43,39
2,114
54,55
30,74
59,-60
85,107
74,-53
90,11
18,-67
52,-13
44,-125
17,11
36,79
49,88
86,-22
37,-107
56,-35
63,66
35,66
97,80
75,-123
57,-32
88,-110
10,-46
53,40
8,55
39,-17
47,-77
60,-66
89,-98
51,-65
14,71
28,98
16,-1
34,67
82,-12
46,-23
27,-102
20,-79
9,-102
92,45
3,-82
98,-119
29,-83
80,-59
73,-81
