inputName,n
values_11,12
values_19,22
values_12,16
values_38,31
values_81,2
values_5,6
values_40,14
values_70,28
values_23,31
values_72,4
values_79,28
values_78,26
values_87,32
values_6,20
values_68,17
values_69,6
values_1,10
values_45,18
values_33,29
values_15,27
values_93,12
values_24,20
values_25,25
values_26,2
values_48,18
values_71,10
values_76,13
values_7,23
values_50,8
values_22,15
values_4,26
values_32,2
values_77,26
values_91,18
values_42,5
values_13,8
values_41,11
values_55,22
values_31,22
values_66,19
values_65,32
values_62,24
values_21,25
values_95,25
values_84,13
values_58,14
values_64,28
values_83,10
values_94,32
values_0,19
values_99,5
values_96,12
values_67,32
values_61,16
values_43,22
values_2,27
values_54,28
values_30,9
values_59,15
values_85,15
values_74,16
values_90,11
values_18,2
values_52,4
values_44,22
values_17,5
values_36,15
values_49,9
values_86,5
values_37,13
values_56,32
values_63,28
values_35,4
values_97,25
values_75,24
values_57,5
values_88,15
values_10,31
values_53,25
values_8,3
values_39,12
values_47,6
values_60,32
values_89,10
values_51,15
values_14,14
values_28,16
values_16,26
values_34,6
values_82,31
values_46,14
values_27,29
values_20,25
values_9,27
values_92,25
values_3,22
values_98,18
values_29,18
values_80,4
values_73,29
