inputName,idum
values_11,427419909553312443
values_19,-26197059881169855
values_12,3077221844279198574
values_38,-7584607097016340389
values_81,-4009925095493163976
values_5,4653231501756226463
values_40,-2670030031061817291
values_70,1869020683082668059
values_23,-330280262799485304
values_72,-7726981595668883046
values_79,2431920447161501504
values_78,-4485642260847158486
values_87,2327138201220059847
values_6,6179182396979043246
values_68,3260974240734668380
values_69,1042448667966136049
values_1,2440716725927872280
values_45,-4376340812132861261
values_33,-1668263601339505778
values_15,3123798160146677224
values_93,6358848481377172905
values_24,2455885047710023251
values_25,-4293440780634170687
values_26,1903471601904210351
values_48,-3009718735765666929
values_71,5264366991047754316
values_76,6606785124340317912
values_7,780306887238980145
values_50,7905942259290061943
values_22,4291632450502760736
values_4,-7642820391443902245
values_32,1078038563730943022
values_77,5492417560598880135
values_91,5041325408244803041
values_42,-4452267309015737623
values_13,7422222365879705973
values_41,6774237180470481641
values_55,3932975133891483812
values_31,-814008265330973107
values_66,-8887510817818403802
values_65,8912556755176608091
values_62,946554749815928924
values_21,2065666749445951224
values_95,7770796923269421961
values_84,3176037128749211830
values_58,-7649359353918346699
values_64,-5299438033208501722
values_83,-4552128887954332149
values_94,-172718528810114314
values_0,-6204053586016896136
values_99,5437305424542718
values_96,-1895549285743664825
values_67,5672985528105165341
values_61,6183562766244621311
values_43,-4917069229145183644
values_2,4615150265238605542
values_54,2820445667648609800
values_30,5815805856355912269
values_59,3479796146460246786
values_85,-4817191537893914421
values_74,3283397508076196154
values_90,-8658336285940657529
values_18,-6796826110326778506
values_52,2852171072903451143
values_44,8326384284199880167
values_17,-1545817436222503275
values_36,3401510971171737307
values_49,7932484797945885868
values_86,7110171480222155861
values_37,3301378742564196803
values_56,500297164082808321
values_63,-5715977171575254456
values_35,-4169142175232391826
values_97,-6406311327595113671
values_75,645456931845973377
values_57,-1609477349135969765
values_88,-6957261191908606226
values_10,5078293989848287602
values_53,6452372786526654941
values_8,2719205944822924214
values_39,-3049312607474154382
values_47,5299825935477868642
values_60,1371258664981702059
values_89,543035983833846239
values_51,-1421840404029855451
values_14,4642898483831519922
values_28,-1805369963374207353
values_16,-5758554300901408306
values_34,-7292447698091297494
values_82,7476750135188774144
values_46,3552804869687706683
values_27,-4666228236604063233
values_20,-3037550889453481043
values_9,3088219225682821248
values_92,5029921859232188195
values_3,-3130072309789866050
values_98,7071089063406614114
values_29,5210211517844054150
values_80,7127957521817563810
values_73,-6078239928913342684
