inputName,nn,size,isign,data[size]
values_11,2,16,0,"{75, 23, -76, -40, -74, -120, 79, 100, -66, 33, 52, -117, -92, 80, 9, 52"
values_19,2,25,0,"{28, 33, 88, -123, 17, 33, -41, -19, -115, 126, 39, 18, -76, 65, -126, -19, -80, -62, 74, 107, 23, 56, 38, 42, 30"
values_12,2,19,0,"{3, 117, -38, 92, -21, -112, -75, -113, -42, 0, -15, 64, -79, 64, 61, -96, 42, 120, 24"
values_38,4,8,0,"{-5, -75, 85, -117, 113, 51, 43, 99"
values_81,3,16,0,"{-83, -51, -7, 73, 64, 116, 95, 95, -94, -60, 75, 36, -86, 123, 95, -23"
values_5,7,26,0,"{-43, 92, 122, -62, 10, 100, -126, -39, 104, -22, 36, 5, 63, -127, 54, 121, -91, -96, 18, 75, 66, -69, 71, 99, -51, 126"
values_40,10,19,0,"{113, 72, 83, -87, 108, 113, 107, -1, -53, -7, 69, -93, -111, 42, -103, 25, 86, -5, 59"
values_70,3,19,0,"{-32, 35, 18, 27, -30, -25, -26, -30, -31, 1, 89, -44, 120, 72, -126, 76, -46, -126, 3"
values_23,2,5,0,"{107, -74, -112, 94, 91"
values_72,3,19,0,"{-9, -91, 106, 10, -17, 95, -88, -125, 34, 0, 86, 6, 4, -61, -82, 44, 62, -94, -30"
values_79,3,25,0,"{84, -79, -51, 39, 12, 60, 72, 16, -65, -115, 52, -32, -101, -127, 94, -126, -86, 15, -116, 10, 75, -33, -119, 50, -31"
values_78,3,8,0,"{58, -120, -102, 79, -35, -19, 105, -107"
values_87,3,20,0,"{-128, -38, 77, -128, -75, 123, 55, 81, 93, -25, -21, 44, -48, -14, -29, -76, 11, -115, 122, -113"
values_6,7,30,0,"{-39, -28, -77, -71, -23, 46, -42, -15, 26, 66, -121, -17, 51, 78, -115, -69, 19, -82, -127, 103, -24, -78, -75, 33, -113, 0, 110, 32, 91, 59"
values_68,3,8,0,"{81, -1, 25, -7, -39, 65, -95, 109"
values_69,3,25,0,"{85, 94, 89, -58, 70, -58, -55, -90, 112, -62, -62, 112, 78, -110, 60, 82, -36, -43, 11, 57, -104, -104, -88, 62, -110"
values_1,7,16,0,"{-47, 88, -72, -104, 86, -31, 45, 105, 62, 72, 126, 18, 118, -27, -63, -53"
values_45,10,26,0,"{-35, 38, 5, 54, -119, -100, -29, 6, -16, 51, -118, 73, -127, 50, -128, -73, 19, 62, -63, 14, -39, -37, -95, -25, -14, 115"
values_33,4,5,0,"{23, -3, -90, 30, 51"
values_15,2,26,0,"{91, 116, 91, -99, 55, -41, 114, -90, 82, -39, -97, 89, -128, -13, -9, -31, 117, -35, 48, 91, -79, 17, 113, -53, 14, 58"
values_93,10,5,0,"{-7, 57, 71, 63, -109"
values_24,2,4,0,"{-30, 101, -88, 124"
