inputName,size,a[size]
values_11,19,"{-747601931504297231, 7440496849810657478, -2931461504855623020, 310640326458731182, 2610443514534864081, -8602303806330100021, 9100391310175941923, 1124130055331368168, 7924281705698870877, 3653306186670690332, 1504924665288471386, -7929791232703255262, 2550907751364446124, -1955616883031528136, -6577348062515403304, -3292751470170240364, -7590207729780463544, 5897667752552758535, -1555530612175142236"
values_19,18,"{5393901509580821979, 4103052508764319593, 7082062683281657644, -1162604449384045089, 6207773370105065120, 7329594051881568288, 2182260227183193142, -5897964668358959134, 8930850248944492993, -5788507099726856056, -7373098669773770657, -3900474485860735579, -3875731388126096992, -8854958407676656960, -1433656931345787106, -6697727456317542443, -7354463985512309520, 8571847425796334910"
values_12,31,"{3830933647255777272, -8250708023671018599, 7779947265320631623, -1345040783076426657, -7379418860198810444, -8847681845069897401, 4899943398913739415, -5820876540429062762, 8780101794601901742, 678751342469203702, -2018110808417569275, 1581199244415946516, 3672061950719139092, -7560854834607944502, 3651462588974759656, 4862640380235993314, 9141225965207594455, 2449266807590145594, -2555691899171276555, 6703535417537463230, 8652869879748626650, -2884059441028000727, 9030835936211268339, 8468863495304146687, -5226826816750493214, 3447654017980912341, 7686480660603122426, 5759253106256027334, 6986953348721669789, -2511798150453952302, 7161983097597462774"
values_38,6,"{-2181839292688301313, 7490920024062529468, -538351526152692856, 996248300495606562, 6445644211575006586, -191915923749165530"
values_81,17,"{7483673809923373105, -1704177578528431354, -4852883882716918909, 6944956015067254538, -4891535175434437684, -5867129538756287153, 6077417883338496193, -1604961454175394428, -64521012833426549, -373822464705547784, -3624438771381720709, 5390826901298051178, -2762902203764079381, 2465676426588079932, -6336020406647193330, 2890015895924238435, -875800751187197290"
values_5,24,"{-9081835453996084192, -5455242758969891331, 1310333215477593344, 8588324732606001757, 1635057381318793015, -71751855974885355, -4892212335812567916, -2698212389917354533, 9049049804106443515, -769820675394843657, 4296466889094867306, -6150429884953135618, 4392600682851583917, 3816931503491093045, -1858683823814932026, 1961064113967214695, 6726651750610728260, 3293864493626085298, -3212498160276771275, 5813522432608894652, 3991109360031222506, 6398992024796675163, -5705095970255628493, 4264410843693964532"
values_40,26,"{2516372349592633964, -7596804425542643268, -8682344845021960345, 4124488258881307959, 1713772368230137189, -6845953691883522638, -8427651537101873425, -7970972596986433634, 7615143097781811158, 7867069390295782970, 3453268425089425699, 8365808643669924643, -6189080590443649765, -3129837958332179543, 8188432403805796296, -87512853291711993, -6301152350949712113, 8252763513075172708, 2690151804974334853, 3945339251518127657, -7214798745661020364, 520940938545964534, -984642892263499138, -160869018014790074, 10034895188902497, -5822868087290165230"
values_70,28,"{612766150926506640, 5479202196689987558, 2388129052131425458, 1301333661418287912, 9118056267347889177, -7419743627376928094, 4450750096771921692, -1879824639158702462, -7173973185846987610, -7797854383327695081, 6890515706507732181, 4497860682002696336, 1580062102746665677, 2324705453843213627, -38686099919316344, 4361100984693538906, -7567650966753268569, -4513030860601148549, -7212892634999977695, 1142182660267190218, 1569252665444735174, -5164839796421983596, 3275238446920123897, 8535727757330407660, -5487288140939922065, 1767142632613863572, -8397992447438999166, -7800969195804428776"
values_23,9,"{-4140891915743894354, -2291773672747224773, 5166070729517149098, -7099063058545507926, -1885670836326768128, 8429723007227717993, -9001375933926296790, -7000629861989733877, -3776474937023211674"
values_72,5,"{-1173128702953796506, -5205541406697934424, -6284175893956239329, 3880627809485516946, 510875518905241017"
values_79,20,"{2424189877182287101, -5863659065205121183, 2235114125815036456, 2069958824439668678, -1216387040113190741, 6495715207111690273, 3103800860242699080, 7215640524999395149, -4487985972672192252, -5813078104783217092, -3561464246801266894, -458291443060039663, -7630161522449423082, -4569414428137961016, -5146844074349912749, -5080135579704326160, 4358144757468095190, -5961646170641131747, 1462281898309680331, -5897327532907184601"
values_78,19,"{-8797978305240855737, -1323473967594917959, 3977010636937669954, -7118141838909768973, -8607063715868489719, -1145435780970473269, 802460515928031651, 7328750705691887979, -8579938173294965903, 2543845094824630825, 8034661866912441483, 8364129107685407317, -696654225484833690, 7417349191156758398, 7778991794558179705, 374423746356685147, -4131077368774565187, 7768568126352371969, 1480593581801899657"
values_87,8,"{8741190973969058870, 369824671799109856, -335224347556904640, 6471396496031041073, -1690204618668946038, -3327961457237260259, -3223671793271235766, -511213471098919407"
values_6,10,"{-3875097848223324984, -6580840212028604633, 5042410727937930069, 3679216648603589975, 7766084021081213187, 7537018931203849486, 1321342935170217399, 583647325190263085, -5320037634640825144, -5330149059604198063"
values_68,31,"{2188600114173690127, 6928536044208251647, -6458699303492165766, 643941081484886355, 5968368158800553874, -5866511287899237537, -1768561176279874021, 5223176478869492075, 5221059959142157516, 3007592610361060222, 857619788303737125, 7465761691543645261, 3414666441916551820, 5702967871846541330, -1701650537377309767, 7418466355183367194, 1750358561722815856, -756581420377608164, -4584176498800773516, 4492908937462050321, -3996812826691413258, 3691993216609239714, -2391952355203665732, 4956047570942959018, 6392818200136301605, -1879285654387682460, 6749905278652481786, 2878120514256619392, 4845227369798556409, -5470653196152979106, 8347589614839320035"
values_69,21,"{4546620103049715118, 1521184130420687215, -4999710166459971739, -729592003436407540, -4767908305651665104, 8145118239060782868, -1421054323285412878, 3982870428553375837, 7687987282830327317, 3769907489452366859, 9000601489400368070, -8870600751351727443, -72723178641375709, 3263500565100831118, 5846680740013685504, 7771007954066374406, -5644976400160912906, 8102958853618727607, -4922905297836044219, -747403169411787018, 2969215642398037400"
values_1,24,"{6466797049871196710, -5769109850673975832, 8528231612595951291, -8387141460039294468, -2555223008571418463, 3287175422303352928, 145475273382715611, 6726098421375191241, 3671837762523093474, 4076554563793089191, 1112304684387262281, -7503268177618910373, 6694549585819265128, 3815602157722241932, -1742340087678996600, 7118959395789219048, -8432763278118402752, -3267527011817300289, 6430271032361072950, -78803608118188634, 6672694322823425029, -579904553383958115, 1346767188803676433, 4931650758010816379"
