inputName,k
11,129
19,129
12,129
38,254
81,148
5,59
40,249
70,25
23,234
72,25
79,25
78,25
87,148
6,59
68,197
69,197
1,59
45,249
33,254
15,129
93,220
24,234
25,234
26,234
48,249
71,25
76,25
7,59
50,9
22,234
4,59
32,254
77,25
91,220
42,249
13,129
41,249
55,9
31,254
66,197
65,197
62,197
21,234
95,220
84,148
58,9
64,197
83,148
94,220
0,59
99,220
96,220
67,197
61,197
43,249
2,59
54,9
30,254
59,9
85,148
74,25
90,220
18,129
52,9
44,249
17,129
36,254
49,249
86,148
37,254
56,9
63,197
35,254
97,220
75,25
57,9
88,148
10,129
53,9
8,59
39,254
47,249
60,197
89,148
51,9
14,129
28,234
16,129
34,254
82,148
46,249
27,234
20,234
9,59
92,220
3,59
98,220
29,234
80,148
73,25
