inputName,size,a[size]
values_11,6,"{22274, 6169, -18824, 5370, 1169, 28468"
values_19,6,"{-4166, 31321, 13565, 10326, -4851, 19134"
values_12,26,"{21742, 5968, -16304, -23018, 14397, -24511, -4857, -13270, 5965, -18907, 5186, 21192, -30945, -20312, 8207, 24651, 27248, 10268, -4619, 17904, 4181, -28774, -872, -15027, 15355, 17552"
values_38,21,"{30216, 26806, -27526, 19912, -16249, 30223, -12173, 14095, 27625, 30045, -26153, -17410, -22872, 27550, -25052, 31994, -5083, 29893, -13360, -2126, -28441"
values_81,10,"{26453, -19493, -31854, 30664, -5511, 26338, -4405, -13755, -8642, -17916"
values_5,10,"{-24561, 14099, -30901, 9119, 22161, -8487, -13647, -3617, 20242, -9083"
values_40,13,"{4218, -18268, 4022, -7439, -21944, -645, -4114, -28282, -3732, -4594, -24423, 24506, -4804"
values_70,10,"{8408, 17168, -19101, 10971, -5243, -2341, 703, 32734, -26640, 23006"
values_23,6,"{17544, -10710, -25757, -11683, -3687, -14860"
values_72,14,"{8824, -24673, -21663, 5869, 1983, -2831, -16961, -26315, -7920, 31444, 25976, 11799, 12456, -13410"
values_79,12,"{-11673, 20093, -10864, -18842, 145, -14459, -2897, -7733, 8272, -24251, -17429, -29182"
values_78,31,"{-10095, -5775, -24972, -22353, 21060, -4358, -19173, 6208, 25265, 2485, -28873, 19012, -2625, 30275, -2299, -4168, 18552, -30420, 21924, -6372, -12065, -26393, 31079, 11858, 20725, -21419, -5600, -2827, 12212, -9179, -13778"
values_87,9,"{5335, -12752, -20971, 3264, 31221, -2166, 22638, 25626, -16558"
values_6,3,"{30309, 5589, -23947"
values_68,14,"{-10999, -3126, -13779, -29609, -17973, -7919, 28324, 26646, 14050, -31468, 22706, 30768, 28135, -3089"
values_69,27,"{1397, -13583, -27618, 22669, -23459, 11522, 22093, 23659, -24419, 31952, -4536, -14859, 11251, 12912, 19019, 12620, -32684, -4521, 1630, 24779, 27461, -1066, -7985, 10173, 12202, 19368, 21648"
values_1,31,"{-11878, 1984, -5750, 23081, -12396, 32600, 25523, -31067, -8781, -16465, 10024, -27642, 11229, 25642, -3605, -19985, 15976, -10200, -9305, 18787, -26886, -1638, -4901, 6629, 15888, 7307, -21339, -19274, -7425, -26568, -31808"
values_45,32,"{-5975, -14231, 19043, -1884, -16404, 22867, 15, 29125, -6666, -2095, 17166, 23386, -23099, -16157, -1987, -20236, 32427, 27660, 5603, -2111, 18293, 20002, 30885, 32691, 8374, 30127, -15621, 14371, 1495, -7146, 14459, 25693"
values_33,10,"{2725, -27758, -12699, 5281, 24342, -10767, -18227, -28253, 9049, 15745"
values_15,10,"{24296, 24094, -27690, 1344, 8459, 31231, 11815, 10047, 24627, -2512"
values_93,29,"{23516, -7957, -18258, 11030, -2074, -15875, -10503, -5983, -14291, -12211, 1132, -26285, 820, 24971, -13584, -9070, 4649, -8530, -16468, -18127, 11220, -26873, -3457, -30130, 29146, 15968, -23444, -24362, 1035"
values_24,11,"{-11549, 8268, 14788, -15582, -25825, -20661, 458, -14093, -25597, 18808, -19181"
values_25,22,"{19653, 26151, -29705, 280, 31023, 7517, -25487, -9140, 23479, -31592, -7792, -23719, 18577, -23639, -17017, 3587, -25136, -9134, -6214, 28293, 21000, -31095"
values_26,28,"{18360, 12263, -14656, -6422, -22305, 2215, 24512, 5934, 6030, -1336, -14841, 15668, -19417, 19588, -9073, -23439, -27618, 32708, 3035, 5041, 12154, 20558, -13593, 26447, 22297, -18503, -28701, -23239"
values_48,24,"{-31541, -1623, -19279, 20952, -11432, -6724, -2192, -22017, 17371, -23918, 25895, 14488, 2796, 25398, 15137, -8835, -26333, -20947, 16876, -4394, 30352, -14168, 19310, -29522"
values_71,30,"{19816, -18075, -24359, 150, 20002, 10647, -20624, -10953, 10469, 13871, 20866, -22940, 4842, 13487, -23304, -22753, 3547, 20756, -29296, 13188, 15802, -19264, 16215, -13612, -20800, -31078, -22548, 27636, 4458, 21328"
values_76,13,"{29084, -10305, 12135, 28112, 23720, -23033, -9070, 28279, -8242, -491, 3243, 14291, 8334"
values_7,12,"{-18485, -4513, -23417, -5799, 19931, -16339, 29095, 5588, 2802, 16519, 19628, -17717"
values_50,23,"{571, -29947, 785, 2541, 27693, -27174, 30077, 8414, -6010, 28050, 26618, -25581, -6213, 10435, 18409, 7647, -11283, 4548, 7344, 26581, 32390, 18345, -15207"
values_22,24,"{-15692, 8131, -29710, 25250, -8600, -1620, -15467, 32021, 24897, -6431, -26430, 28928, -8826, 26738, -13749, -24662, -16108, -8569, 245, 1126, 21949, 10209, 11318, -25175"
values_4,15,"{5091, 13851, 23966, 20619, 26603, -11058, 1707, -7133, -4632, 4984, 18581, -26259, 27055, -12367, -6242"
values_32,32,"{8120, 3265, -22827, -30042, 18008, -9060, 18003, 18917, 26154, 10472, 25390, 20299, -28762, -11307, 24639, -32697, -13396, -19996, 14503, -5972, -33, 8817, -4031, 8608, 5735, -15624, 9330, 26230, -23035, 4769, 14750, -17488"
values_77,22,"{21085, -20407, -6126, -25626, -15061, 10121, -23439, 7754, 17848, -10416, -13652, -26881, 31978, -11457, -4002, 4738, -15024, 10961, 23294, -3649, 339, 15432"
values_91,27,"{14737, 32151, -1936, 11679, -15981, 2414, -3199, -25195, 9612, 2281, 25364, 8541, 2307, -12973, 205, 8937, 21188, 5841, 8796, -28914, -10642, 7300, -24469, -17710, -4645, -23829, 23004"
values_42,28,"{29112, -15144, -28316, 22607, -21299, -21759, 16488, 3702, -4177, -21392, 13367, -19103, 9604, 24193, 6619, 17125, 5209, -11891, -32707, -24136, -29432, 3715, -28888, -23478, 5769, -12536, -5455, -28399"
values_13,5,"{23412, 2957, -10811, -32570, -3148"
values_41,24,"{7010, 17285, -9522, 22693, -26682, 14233, 26934, 30449, -9017, 2509, 12438, -29336, 20964, 2270, 10349, -31109, 31955, -2657, -5283, -24532, -30480, -19981, -10980, -5162"
values_55,8,"{13789, 26161, -16567, 31925, 31928, -15927, -17984, 15423"
values_31,27,"{6253, -403, 28473, -2313, 15152, 8537, -31562, -3841, 20414, 18681, -3292, 1863, 901, 17476, 22081, 17043, -868, -16742, 19065, -691, -8012, -10132, 25217, -2381, -7510, -31005, -10322"
