inputName,n
values_11,119
values_19,27
values_12,36
values_38,36
values_81,67
values_5,44
values_40,92
values_70,49
values_23,117
values_72,43
values_79,107
values_78,23
values_87,91
values_6,33
values_68,116
values_69,27
values_1,120
values_45,119
values_33,73
values_15,58
values_93,10
values_24,124
values_25,85
values_26,24
values_48,54
values_71,29
values_76,81
values_7,110
values_50,33
values_22,24
values_4,7
values_32,70
values_77,26
values_91,87
values_42,112
values_13,88
values_41,57
values_55,123
values_31,74
values_66,40
values_65,60
values_62,108
values_21,101
values_95,52
values_84,64
values_58,25
values_64,36
values_83,59
values_94,6
values_0,32
values_99,107
values_96,13
values_67,82
values_61,82
values_43,104
values_2,117
values_54,14
values_30,105
values_59,35
values_85,123
values_74,112
values_90,75
values_18,125
values_52,110
values_44,56
values_17,63
values_36,116
values_49,53
values_86,85
values_37,81
values_56,123
values_63,97
values_35,16
values_97,4
values_75,5
values_57,45
values_88,77
values_10,42
values_53,7
values_8,104
values_39,91
values_47,21
values_60,48
values_89,47
values_51,97
values_14,99
values_28,108
values_16,105
values_34,88
values_82,16
values_46,4
values_27,3
values_20,124
values_9,13
values_92,69
values_3,65
values_98,42
values_29,39
values_80,95
values_73,99
