inputName,k
11,114
19,114
12,114
38,29
81,27
5,220
40,129
70,72
23,74
72,72
79,72
78,72
87,27
6,220
68,139
69,139
1,220
45,129
33,29
15,114
93,17
24,74
25,74
26,74
48,129
71,72
76,72
7,220
50,63
22,74
4,220
32,29
77,72
91,17
42,129
13,114
41,129
55,63
31,29
66,139
65,139
62,139
21,74
95,17
84,27
58,63
64,139
83,27
94,17
0,220
99,17
96,17
67,139
61,139
43,129
2,220
54,63
30,29
59,63
85,27
74,72
90,17
18,114
52,63
44,129
17,114
36,29
49,129
86,27
37,29
56,63
63,139
35,29
97,17
75,72
57,63
88,27
10,114
53,63
8,220
39,29
47,129
60,139
89,27
51,63
14,114
28,74
16,114
34,29
82,27
46,129
27,74
20,74
9,220
92,17
3,220
98,17
29,74
80,27
73,72
