inputName,size
11,4
19,32
12,11
38,2
81,13
5,13
40,6
70,13
23,19
72,18
79,6
78,11
87,31
6,8
68,25
69,8
1,29
45,29
33,3
15,28
93,7
24,4
25,7
26,15
48,23
71,12
76,27
7,32
50,21
22,28
4,31
32,9
77,11
91,30
42,25
13,20
41,27
55,7
31,29
66,4
65,27
62,17
21,28
95,2
84,21
58,25
64,16
83,10
94,26
0,29
99,7
96,10
67,5
61,22
43,26
2,21
54,19
30,23
59,30
85,15
74,3
90,4
18,20
52,28
44,26
17,14
36,6
49,26
86,22
37,5
56,16
63,29
35,3
97,29
75,26
57,30
88,23
10,28
53,28
8,15
39,22
47,26
60,14
89,23
51,7
14,3
28,3
16,16
34,26
82,17
46,27
27,3
20,12
9,31
92,9
3,26
98,12
29,32
80,5
73,14
