inputName,n
11,21
19,60
12,27
38,18
81,15
5,71
40,45
70,94
23,67
72,40
79,50
78,83
87,63
6,102
68,59
69,78
1,37
45,95
33,71
15,72
93,79
24,104
25,11
26,71
48,58
71,85
76,19
7,20
50,67
22,56
4,15
32,77
77,122
91,122
42,41
13,122
41,6
55,125
31,83
66,48
65,64
62,44
21,102
95,48
84,80
58,115
64,89
83,45
94,49
0,35
99,30
96,97
67,21
61,34
43,85
2,33
54,14
30,20
59,45
85,94
74,82
90,110
18,88
52,110
44,111
17,116
36,35
49,120
86,16
37,73
56,101
63,78
35,53
97,17
75,93
57,126
88,41
10,5
53,66
8,98
39,77
47,96
60,79
89,45
51,112
14,43
28,10
16,15
34,25
82,21
46,115
27,54
20,106
9,20
92,51
3,94
98,75
29,29
80,77
73,80
