inputName,n
values_11,7
values_19,5
values_12,5
values_38,16
values_81,11
values_5,5
values_40,31
values_70,11
values_23,19
values_72,22
values_79,28
values_78,15
values_87,30
values_6,9
values_68,24
values_69,29
values_1,27
values_45,31
values_33,30
values_15,3
values_93,5
values_24,17
values_25,2
values_26,4
values_48,30
values_71,16
values_76,22
values_7,32
values_50,12
values_22,21
values_4,19
values_32,21
values_77,30
values_91,10
values_42,21
values_13,10
values_41,32
values_55,32
values_31,6
values_66,3
values_65,30
values_62,20
values_21,3
values_95,6
values_84,29
values_58,31
values_64,2
values_83,26
values_94,28
values_0,8
values_99,8
values_96,2
values_67,30
values_61,2
values_43,12
values_2,19
values_54,10
values_30,31
values_59,22
values_85,14
values_74,32
values_90,27
values_18,20
values_52,3
values_44,32
values_17,31
values_36,13
values_49,4
values_86,27
values_37,4
values_56,28
values_63,12
values_35,13
values_97,9
values_75,21
values_57,8
values_88,29
values_10,9
values_53,13
values_8,15
values_39,21
values_47,12
values_60,4
values_89,10
values_51,20
values_14,17
values_28,17
values_16,10
values_34,10
values_82,25
values_46,19
values_27,8
values_20,27
values_9,7
values_92,28
values_3,9
values_98,14
values_29,12
values_80,14
values_73,25
