inputName,n
11,21
19,26
12,10
38,6
81,28
5,10
40,5
70,28
23,20
72,28
79,20
78,12
87,26
6,13
68,31
69,16
1,25
45,4
33,9
15,24
93,13
24,27
25,25
26,22
48,9
71,12
76,2
7,2
50,19
22,26
4,14
32,11
77,3
91,12
42,29
13,32
41,6
55,14
31,10
66,22
65,25
62,16
21,10
95,31
84,22
58,15
64,30
83,21
94,28
0,5
99,28
96,18
67,25
61,8
43,23
2,5
54,29
30,13
59,32
85,2
74,4
90,17
18,27
52,10
44,24
17,22
36,17
49,4
86,20
37,6
56,26
63,22
35,23
97,32
75,14
57,22
88,22
10,8
53,22
8,7
39,5
47,13
60,25
89,30
51,15
14,7
28,2
16,22
34,12
82,26
46,9
27,24
20,11
9,22
92,17
3,32
98,13
29,14
80,21
73,25
