inputName,size
11,9
19,13
12,23
38,28
81,16
5,14
40,11
70,26
23,12
72,5
79,15
78,23
87,28
6,17
68,32
69,19
1,3
45,31
33,10
15,24
93,5
24,20
25,11
26,25
48,16
71,15
76,5
7,11
50,28
22,10
4,11
32,27
77,24
91,17
42,12
13,32
41,30
55,25
31,22
66,11
65,18
62,12
21,19
95,8
84,22
58,3
64,25
83,18
94,17
0,17
99,12
96,9
67,22
61,5
43,17
2,13
54,26
30,17
59,29
85,17
74,15
90,16
18,25
52,8
44,30
17,3
36,17
49,27
86,3
37,2
56,29
63,22
35,12
97,25
75,32
57,16
88,29
10,18
53,11
8,21
39,32
47,5
60,25
89,29
51,22
14,18
28,4
16,16
34,25
82,32
46,30
27,7
20,20
9,18
92,7
3,17
98,17
29,9
80,12
73,27
