inputName,k,size,arr[size]
values_11,142,3,"{606306934.4, 2035077222.878, -315177763.666"
values_19,142,22,"{1711396758.431, -1189486182.784, 1422102396.6, -603273413.063, -147522163.464, -1455836752.867, 1822843740.408, 1031651617.635, -269088118.129, 809338719.886, -2004900628.311, 1176915335.838, -1668201837.378, 1262852793.719, -68959643.678, -1316660834.341, 2143794391.331, -796226722.704, -1802728509.537, -1810601970.613, 1517087993.956, 1043021585.339"
values_12,142,32,"{-2048887755.022, -176114873.401, 911526066.333, 292052453.789, 1095425742.716, 1953084507.885, -1279382780.013, 49444987.838, 579463507.047, -1211849794.508, -1231949874.507, -522509676.365, -1710229837.859, -2144528107.553, 1232551780.534, 52157890.1, -602319920.557, 176718792.09, -1998184988.161, -1624051875.876, -574121548.069, -1444502563.461, 1791751725.374, -64064336.593, 175665932.949, 535186699.682, 396321771.353, -448072492.269, 1694504950.464, -857916786.924, -612933225.236, -1087857082.333"
values_38,171,23,"{-96158754.5, -365331266.59, 377888470.635, 948078263.107, -717416086.331, 185166611.081, 1151530139.657, 692836016.938, -894640864.049, 2039449711.96, -1753821033.219, 372940825.852, -1655194492.415, 1656125102.994, -1513215264.016, -1892986361.879, 1641583481.358, 293715236.333, -1749123751.794, 1069685670.2, -50894831.488, -760125901.147, -760696397.128"
values_81,159,3,"{-1896841310.374, 1198542992.916, 964789697.393"
values_5,59,18,"{1219707222.872, 655210117.524, -1568739903.435, -48079926.463, 614312183.337, 160251442.662, 314544758.053, 1673851911.978, -365780568.856, -756923761.251, 1178072514.167, 173093185.847, -652158854.519, 1603097494.479, 969109054.275, 723693022.917, -1845722996.474, 515476286.894"
values_40,178,11,"{2080624340.352, 189289449.705, -272120826.861, -749080799.081, 1677139237.921, 1127601796.551, 1062707137.248, -238520483.502, -1677277724.863, -1277439088.461, -498729663.655"
values_70,13,11,"{-1281912356.334, -44736180.388, 1130420435.246, 1442670257.936, 809256286.854, 835787755.046, -2130475269.16, 1064007019.275, -864725469.339, 1417991581.315, -1768985411.866"
values_23,189,6,"{91454844.724, -447063782.503, -1531311583.269, 163781938.056, -2130358484.6, -437648994.156"
values_72,13,32,"{-2023944208.997, 133564164.768, -1912923137.117, -271019313.87, 139291833.587, -1679202397.758, -1616451605.713, 115931512.144, 2030353049.576, -420363523.161, -674877442.255, -241140658.219, -2103027042.969, -2112753419.482, 1774932344.228, -1466345706.819, -733145459.768, -1218577576.13, 1208828710.534, 1077230903.324, -1798917532.97, -1899719197.08, 2058214109.521, 1288566175.78, 1080255337.511, -1151715414.794, 1237876593.073, -1104187448.618, 179749756.78, 1261609658.379, -482527821.621, 2109569921.344"
values_79,13,22,"{-596190580.998, 1780933000.099, 1602302598.196, 54311635.293, -650804608.104, -1712809812.933, -1348757356.975, 1767323020.056, 1283527138.486, 1673457171.621, 709392869.104, -2142729027.467, 1947699960.723, -718508338.017, -195760693.9, 610291302.782, -1690438264.126, -980546059.772, -1633710369.363, -1422927529.03, -1455735217.448, 791072088.943"
values_78,13,23,"{-1000242801.382, -411033746.98, 1542267618.432, 1416859608.561, -1984683776.56, -687914216.374, -1105143289.68, 660045970.392, 1375852875.567, 532755602.838, -1651847068.396, -1521120932.018, -1065034700.302, 2101427084.213, -1943906195.486, 631297959.879, 1717488692.989, -973812192.753, 1285499051.938, 329168489.191, 97176573.437, -1070671393.097, 301485386.713"
values_87,159,17,"{-1517285446.99, 1936935139.636, -524474455.006, -1909240391.437, -839720170.843, 1525945452.737, -1186972397.601, -2080036873.873, -1910849024.258, -1980174725.327, -2136334413.577, -1815786668.871, -1045272634.697, 213915802.873, 948967699.426, -1768778985.239, -1242263540.082"
values_6,59,14,"{-1532416282.372, 1643780376.278, 12500296.311, 1337555528.942, 2033099960.103, 818816065.749, -1273374888.231, -1973118573.952, -60803948.597, -1887985895.109, 1626697911.557, 1790035067.886, -1767369569.065, -1537549469.307"
values_68,65,23,"{-2008844328.7, 1090667699.922, -302047364.371, 1559393302.16, 560547129.4, 29048355.219, 650220302.533, 870223200.347, 155117249.674, 237607526.933, 943424806.454, -1351464982.365, -522723833.769, -650852234.578, 294658515.116, 1506543107.746, -379991262.593, -2028230501.634, -136896800.306, -793653077.325, 665771695.743, -1492904876.085, 1158986723.291"
values_69,65,22,"{1730530498.22, 866146681.888, -224489889.734, -828381522.624, -1856382129.236, 130344571.888, 726361108.169, 1595187275.234, 632277969.592, 1830209212.267, 484022862.729, -75192764.183, 1219862350.274, 1214650686.307, -193312974.345, -285292667.769, -2099229888.611, 2101207534.592, 1187796486.717, 231345226.41, -1068158225.179, -612688629.543"
values_1,59,3,"{-1551461389.314, -53299086.578, -1127600404.703"
values_45,178,18,"{-964029873.059, 2004851954.666, -1210153889.249, -1877561223.774, -1755365410.702, -1083335621.285, 91667079.005, -273477815.08, 484722523.586, 583798666.455, -502514904.577, -1390242082.065, 1275066974.121, -540389744.726, 159187337.758, -1219609574.988, 1714445867.681, -826090889.563"
values_33,171,6,"{-1717687124.213, -1822515587.849, 162778276.533, -156740785.568, -1938861969.153, -366006491.432"
values_15,142,18,"{663603402.097, 1346740582.37, -1917468456.549, 974255484.894, -1381852441.243, 1654497308.175, 433083918.996, 482391904.744, -1818539335.69, -2138397672.412, -2088506187.88, 1877384373.201, -1441502420.417, 1447376750.79, 1825714855.266, -557921535.936, 279500918.203, 1369385671.214"
values_93,124,6,"{243997041.614, 223381346.03, 884688978.732, -1429626124.545, -1598810872.71, 1349601656.123"
values_24,189,17,"{-1732450001.634, 43290268.106, 238026300.949, -2115143707.007, -974198749.609, 1757936390.444, -645363466.198, 1100169205.452, 1676486065.44, -1029660641.809, 1588413084.37, 1196742503.008, -1781729922.937, -902865673.475, 391849702.233, 298022750.751, 926905474.98"
