inputName,size,arr[size]
values_11,26,"{127, -71, -97, -37, 59, -87, 77, -115, 8, 79, -57, 36, 23, -15, -125, -104, -59, 89, 19, 37, -96, 94, 38, -4, -58, 80"
values_19,32,"{-40, 87, -58, -15, 122, 98, 66, 91, -89, 11, 54, 3, 69, -6, -2, -46, 22, 88, 74, -108, 38, 111, 79, -50, 29, -10, -63, 4, -124, -123, 48, 43"
values_12,31,"{35, 55, -70, 78, -44, -28, -65, 42, 73, -70, -17, -35, -4, -101, 45, -97, -80, -93, 81, -59, -1, -58, 72, 67, 78, -27, 4, -15, 9, 93, 47"
values_38,2,"{-55, -72"
values_81,8,"{-50, 6, -2, 90, 60, -20, -92, -7"
values_5,16,"{97, 7, 116, 7, 90, -85, 118, -112, 37, 26, 98, 38, -120, -92, 121, -115"
values_40,7,"{-121, 17, 122, -109, -104, -42, 88"
values_70,3,"{-70, 66, -25"
values_23,30,"{97, -92, 46, 38, -44, 111, 64, 102, 116, -55, -78, -114, -41, -107, 33, 38, -10, -34, -118, -118, -70, -13, -56, 117, 15, 89, 28, 27, -105, 108"
values_72,21,"{42, 52, -112, 72, 67, -110, -92, 53, -74, -89, 98, -119, -113, 111, 21, 69, -20, -16, 68, -64, -60"
values_79,31,"{117, 14, 14, 53, 42, -86, -30, -111, 60, 14, 20, 126, 47, -107, 76, -119, -48, 32, -96, 95, 24, 98, 32, -79, -102, -65, -91, 114, 107, -15, -87"
values_78,16,"{57, 57, 90, -38, -97, -84, 64, -78, -108, 60, 15, 8, -50, 94, 1, 94"
values_87,20,"{127, 111, -74, 118, 15, -41, -90, 72, 78, -88, 91, 8, 108, -99, 45, -75, -118, 93, 16, 116"
values_6,10,"{67, 13, 11, -107, 88, -83, -73, 99, -60, 115"
values_68,4,"{-34, 94, 122, -126"
values_69,5,"{26, 8, 82, -61, -49"
values_1,16,"{46, -58, 17, -61, 70, -126, 42, 31, -51, 55, -44, 5, 99, -99, -5, -17"
values_45,32,"{-124, 86, -116, 64, -54, 109, -88, 97, 6, -73, -58, 86, 91, 65, 89, -121, -21, 60, -9, -111, 13, 90, 107, -81, -99, -64, -108, 103, -2, 52, 17, -21"
values_33,19,"{113, -48, 5, 58, -104, -49, -39, 17, -33, -65, 6, 15, -53, -26, -1, 41, 112, -65, -106"
values_15,13,"{-2, 75, 4, 67, -75, -62, 9, -49, 68, 88, 88, 72, -112"
values_93,17,"{-59, -57, -81, 11, -4, -15, 21, 2, 77, 123, 98, 26, 100, -36, -10, 42, -11"
values_24,20,"{97, -108, 76, 53, -68, -105, -49, 122, 107, 10, -83, 23, 117, -45, -91, 86, -5, -112, 54, 100"
values_25,24,"{-102, 55, -74, -104, -104, -8, -118, -77, -124, 114, 88, 25, 91, 87, -48, -90, 80, -97, -13, -104, 61, -120, -19, 27"
values_26,19,"{102, 66, 112, -120, 53, 45, -21, -50, 15, -66, -38, -44, 94, 44, 22, -11, -113, 39, 5"
values_48,30,"{-23, -49, 48, 39, 17, 45, 96, -19, -108, -44, 84, 29, 124, -18, -1, -121, -11, 103, -107, -31, -112, -89, 56, -76, 112, 20, 50, 0, -39, 46"
values_71,2,"{89, -96"
