inputName,key
11,3
19,22
12,29
38,20
81,3
5,17
40,22
70,22
23,25
72,29
79,22
78,20
87,20
6,23
68,20
69,22
1,3
45,17
33,25
15,17
93,25
24,11
25,17
26,23
48,20
71,3
76,23
7,20
50,22
22,29
4,11
32,29
77,20
91,3
42,29
13,25
41,3
55,17
31,3
66,23
65,17
62,29
21,3
95,17
84,11
58,20
64,11
83,25
94,11
0,22
99,22
96,23
67,20
61,3
43,25
2,29
54,11
30,22
59,22
85,17
74,11
90,22
18,20
52,29
44,11
17,20
36,23
49,22
86,23
37,20
56,23
63,25
35,17
97,20
75,17
57,20
88,20
10,22
53,25
8,20
39,22
47,20
60,22
89,22
51,3
14,11
28,20
16,23
34,11
82,29
46,23
27,20
20,22
9,22
92,29
3,25
98,20
29,22
80,22
73,25
