inputName,val
11,25089
19,20307
12,12693
38,29592
81,16869
5,13289
40,12693
70,8655
23,4882
72,27142
79,21520
78,22419
87,1715
6,24366
68,26746
69,26503
1,12207
45,21149
33,29332
15,30842
93,16081
24,15092
25,9630
26,4105
48,29208
71,24051
76,10315
7,29684
50,18506
22,2142
4,18005
32,19433
77,18058
91,26932
42,9075
13,9654
41,5049
55,16519
31,13495
66,16862
65,16164
62,27929
21,27044
95,4944
84,3659
58,25345
64,3172
83,5973
94,23090
0,320
99,18826
96,15858
67,8925
61,4331
43,30642
2,799
54,22666
30,10460
59,29399
85,13315
74,76
90,20982
18,8489
52,12225
44,24141
17,32221
36,14321
49,28318
86,2565
37,661
56,14331
63,13491
35,10843
97,17400
75,10352
57,31058
88,11090
10,3478
53,19878
8,3637
39,26902
47,296
60,15168
89,8214
51,177
14,25093
28,24313
16,10109
34,23057
82,28018
46,9386
27,23996
20,14701
9,31293
92,17341
3,29522
98,26462
29,29500
80,17424
73,31699
