inputName,size,arr[size]
values_11,11,"{-7430235506463131532, 7033248265523585770, -2899056658550277451, -8994102114948341998, 385432806765392631, -1225519065796730642, 5324068303494505209, -1936434705952368843, 6113688171426160345, -1497795123858241599, -9036900538485463828"
values_19,4,"{-4395777318114690909, 3663222305322276626, 5996973018504614727, -1554309969594793601"
values_12,2,"{-1924283108774820903, 4057527393186929532"
values_38,23,"{-2333461391765349077, 9022241565283369063, -1213941392146154158, 4458145142747804068, -811989199604052010, 8470471653330948139, 651076453394398878, -9093450758837304305, 8169596892534535333, 5050525240016254480, 600281480305760592, -3416147410576210528, -3032461085862472487, 6853349702795158900, -5473207076895952274, -8330731908706843664, -6561685650395865548, -883887382723137916, -7060456772658749974, 3721180465139405987, -4355661449457469621, 7045844797032149363, -8543400466233696295"
values_81,11,"{2260019277260893072, -7017702689239068707, 4638595742540311136, 2825479344527043098, -1445370094119692218, -184776596476123360, 6311669895710746557, 2230730593132286565, 6825466786184766469, -362709549194210777, -3033411356758122667"
values_5,6,"{-5772131304096695430, 5675987071973328448, 6361731292749706435, 1961338600438116369, -3325627969313500090, -6605287470448744399"
values_40,16,"{4856615499651824391, -678923075411964300, 446700075440687117, 7614274979464605242, -6933871397487970978, 3267235824758669046, 6040755742579737554, -8021170798569394650, -5898477271805378890, 1346096712497858273, 5439460086234244368, 4572332619500974980, 3376725207728811119, -5009471004022979826, -5583617951936575916, 6724245116357009077"
values_70,16,"{-2294663612293756151, 2733734765616728009, 4150867216829669428, -4243050430120400371, -5677833964827901415, 823708548436552585, 6128680748015809936, 2336693152296550875, 896473242270611946, 1037426156473102727, 2056303908319734557, 3770906547071632003, 6006337229313304481, 4296244757247468023, -195473005786266835, 8342784029940692023"
values_23,4,"{-1677979832928346324, -290219808112106047, -4179186119872179744, -4040280408931439672"
values_72,26,"{-9157106096385524248, -6263197612373382968, 226966875062396012, -2633697197350566757, 7137981916141465098, -1433582707823667315, -807810438169444623, -6483421782745889263, -8703497319006069434, 7618478093907203005, -2253218473578228845, 8266845105790368008, -5415452773442048871, -9012497521413373021, 8897821186324810675, -309116876378109469, -918620927038841637, -299046490643814585, 5974239916018899637, 3691967532759636950, 3873651471462921293, -7274820387750120343, -5029121842176741024, -8695379142585573747, -5121143576260019514, -8145461801408613514"
values_79,3,"{4975859380098134634, -7264946823337915777, -928749414749311412"
values_78,8,"{3415654553045212303, -5286375410188908293, 8686507297577340111, 7452754687057434439, 8059661108230936763, -3045656001602230215, 6728958351605188139, 7682123838394095206"
values_87,17,"{-3403391084700388273, 8891372366655024462, -5459680672312341888, 6228075203091024353, -6666879189017312638, -3458234823424234466, 101327446811448788, -9124910312756088835, 7974374641507967131, -6196511822661497549, -8539023593120663810, 1552423188107687625, -1524238424736820242, 2551376901539387500, -4588527042899463969, 7981547226643441026, -4832755061460647800"
values_6,29,"{7301283307709607782, -2648327886984126310, 118258962427296157, -5036456691298431986, -7942212730462766177, -6464562796694150549, -3614546360635773789, 4077228500536496188, -3827294210841338888, 7506748791905655724, 770776121926952291, 1087375285096214670, 1803505199589140406, 1461501901040177786, 4943772422425463838, -4129695754604423557, 7382674394055922103, 3245687357788489121, -2793068372549421529, 1819353023421051673, 3273181370543901099, 3248525738178655822, 8999817873711927280, -6420503101461892333, -7723627602651327467, -7738264323703876370, 1211666657310593199, 6230720747579996590, 7028404254097152543"
values_68,4,"{5784093406020798156, -2884247558766782973, 6537461303081897149, -5414627130917852187"
values_69,12,"{-7909467429251607258, 6951247539582414043, 1908850716134064541, -3059729031126698946, 1576742813381058506, -2288330896851353514, -716722526946303981, -6528839499559984721, -8051622726873357131, -4278366120665057548, 1205311431318140510, 121917625020956921"
values_1,23,"{5646591188095319116, 5251560270021335934, 5067963047943898403, 5076502354829016845, 1375945387899317950, -468600028050416382, -1053233643032246141, 5081252649522005822, 2261394644811644951, -7080651280246697072, 4655559796896434585, -1664771018993250544, -5129712170229233144, -257412629622615857, -5604332725362415180, -6589479213426531449, 5377569989946551563, 6813664178925510289, -1520552450083823266, 2718845946833125553, -2758832290153677372, -445879050099366353, 3421834960997412609"
values_45,18,"{8001759978399118178, -7297927181833302862, -6628542687360031169, -7324415280343254908, -1355604903700540568, 4493796610582391864, 3122415910037185866, 6536184724311751339, 9003458528392033464, 6652550427451310115, 2445507665820472965, -6235882125591071644, 582320883998551121, -240024848122079786, -7037994650144768962, -5087716242578485406, -3674310249393774002, 2932325117191153963"
values_33,19,"{157581913095020233, -4733611964081622029, -3198618410493338403, 4168659414126113645, 2804720448372673443, -631115082404889160, 8326685701538453065, -1409710091899561617, -6148748977269003290, -3649758122811133431, -5370443723364162451, -1882950508604754507, 3492537348119933554, -2149660419696759986, 1851289715590935321, -3587174456681074692, -4264922901897992266, -5695418888085365961, 4365118929116343191"
values_15,24,"{7111619030523288369, 2550430316886192772, -1387835892250348725, 2189585415001668762, -4304489417528125056, 736014501433860377, -1530423485472524355, -3898375685305578564, 4436144106514807986, -4464536756787051806, -8548747532965667335, -3549042025960722552, 7923472880365551811, 1465092109535778470, -4952268349665365665, -6057543949824635685, -8399935952300554103, -3280447513838565911, 4248125289981780008, 5930858998221006371, -5054981406288794122, -5846653803974489605, 5986330254313253196, -402378687442106466"
values_93,24,"{-7669945363706272251, -923312774275119865, 6474598661792024324, -7296413346867526474, 5802358481107347990, 8026558902330420162, 4653889785072020715, 7193821983378553242, 4952783341258239386, 8034528472832890095, 9037624021751117256, -2860276016444393910, -2654566182131876749, -2547936426210097209, 1638535752065575055, 5850845611415184402, 591644645587388300, 321468525401042198, -9134106058180823002, 7989562840719684422, 1592989747629362007, 2637630069497056688, 5522133185223929573, -7316370126915024395"
