inputName,size
11,14
19,13
12,7
38,19
81,4
5,11
40,17
70,20
23,30
72,15
79,3
78,14
87,8
6,5
68,14
69,21
1,14
45,2
33,17
15,11
93,32
24,4
25,23
26,20
48,22
71,17
76,3
7,29
50,31
22,20
4,28
32,22
77,15
91,11
42,12
13,18
41,30
55,12
31,32
66,12
65,18
62,32
21,27
95,10
84,29
58,6
64,15
83,26
94,21
0,13
99,5
96,6
67,9
61,31
43,11
2,22
54,18
30,27
59,26
85,29
74,25
90,21
18,3
52,12
44,7
17,22
36,17
49,23
86,32
37,23
56,10
63,2
35,28
97,2
75,22
57,25
88,32
10,28
53,29
8,27
39,21
47,10
60,18
89,11
51,32
14,27
28,3
16,19
34,15
82,18
46,32
27,27
20,31
9,29
92,5
3,15
98,5
29,21
80,22
73,32
