inputName,size
11,2
19,6
12,9
38,4
81,13
5,14
40,6
70,17
23,30
72,29
79,29
78,12
87,27
6,16
68,26
69,23
1,3
45,3
33,2
15,13
93,8
24,4
25,7
26,14
48,25
71,15
76,10
7,32
50,18
22,30
4,20
32,19
77,18
91,11
42,28
13,12
41,18
55,25
31,27
66,32
65,11
62,6
21,4
95,29
84,4
58,4
64,14
83,26
94,24
0,25
99,19
96,11
67,11
61,8
43,7
2,29
54,24
30,20
59,17
85,5
74,29
90,13
18,26
52,31
44,27
17,18
36,19
49,4
86,16
37,17
56,7
63,3
35,14
97,27
75,7
57,4
88,27
10,16
53,24
8,8
39,2
47,28
60,7
89,9
51,8
14,6
28,10
16,21
34,7
82,11
46,7
27,18
20,31
9,3
92,25
3,31
98,30
29,14
80,25
73,30
