inputName,size,arr[size]
values_11,13,"{1315769140, 1496311708, -358282286, -1241313340, 1762356027, -596162442, 1492228237, 87537051, 113295109, -395953218, 939905923, -1003363256, 1151898053"
values_19,17,"{-444561038, -1606376538, -1907602900, 1775322299, -1900348363, 1603763378, 785697418, 1768267816, 90631254, -884188913, 121139941, 507097035, 453906956, 1427695174, -153705512, -515738267, 1791442850"
values_12,9,"{359703251, -61584029, -1606115610, -660662882, -1286077206, 1829083424, -2098251003, 1804032099, 1445134743"
values_38,13,"{2018734966, -1204807992, 488539744, -952759166, -503058962, -439124536, -895893668, 1180883994, -360001722, -1831287319, -338187244, -1997416672, 900019027"
values_81,30,"{1874687031, 914907751, 1933635287, -311112445, 856931200, -129496515, -957165602, 466774493, -140026955, -130966463, 879482987, -368054066, 1570867044, 1184818987, 621796648, 75271591, 1627757769, -656481995, -1046237583, -1681184481, -1108751469, -876457535, -562125227, -1763805668, 1533795692, -680980305, -209776689, 701919180, -486909744, -1704267760"
values_5,16,"{-993988483, -564979311, -1425503634, 1390341443, 1631385076, -231835175, -1779000821, 1346329954, -581262567, 992276342, -1161513978, -187550292, -270835948, 843305890, 619750214, 676878520"
values_40,2,"{-106559728, -869401341"
values_70,11,"{1722349278, -2094821249, 765061796, -1042717912, 1299084340, 1496196197, -1039507821, -699077488, -30309209, -944493993, 504187443"
values_23,17,"{-353527645, 1556364608, 1060509171, -283177038, -546982540, -1240726512, 2119566218, 1762502417, 1102866196, -929922293, 9094722, -1161349446, 1830645764, 82749371, 714117577, 1845790763, 528572323"
values_72,32,"{-243917539, 1516158893, 560285872, 1360736390, 1562181484, -1611826187, -1800634310, 1265012351, -766312050, 987184877, -1153564734, 2055486877, 772292800, 1982359717, -1596515211, 1484961990, -704907721, -340240274, 17161494, -1086272457, -1589078078, -899271789, -1931923877, 455866177, -365809675, 67460774, -301051837, 741457917, -847129178, -1056254760, -273787771, -1500926448"
values_79,2,"{1536048690, -925815820"
values_78,25,"{-594046596, -1774144851, 1491875426, 1265598935, 1265978696, -1072716803, -1716083759, 1617577668, -246572373, 188602021, 1509861669, -1623119359, -2131808380, -2048769373, -802796224, -1019917934, -1087087444, 1766701033, -2090121773, -542575283, 2125184614, 525613562, -367054202, -1069450444, -546252547"
values_87,20,"{2136160810, -335269141, 1697813533, 873284237, 1823581402, -1304647974, 156230851, -283311199, 1478168893, 1677186688, -2140219107, 1862999222, -1285844136, -293196623, -330160390, 411637941, -52444879, 1404290978, -1659278560, 258743180"
values_6,14,"{1595414900, 2033149109, -1205818572, -1058601549, -612693281, 1815788350, -121260788, -1949022019, -1649883649, 1317043645, -1302878617, 1410385549, -1265827492, 254427120"
values_68,14,"{1055784045, 252385429, -1177628751, 1714704849, -2067248329, -1277573938, -1824772009, 1755826921, -1811661023, -585423684, -1687287377, 483457375, -243138098, -1183337001"
