inputName,n
values_11,31
values_19,25
values_12,13
values_38,31
values_81,27
values_5,32
values_40,31
values_70,20
values_23,15
values_72,14
values_79,17
values_78,3
values_87,29
values_6,12
values_68,32
values_69,19
values_1,3
values_45,19
values_33,6
values_15,22
values_93,4
values_24,4
values_25,16
values_26,6
values_48,2
values_71,3
values_76,10
values_7,15
values_50,9
values_22,24
values_4,2
values_32,5
values_77,5
values_91,7
values_42,32
values_13,13
values_41,15
values_55,19
values_31,16
values_66,11
values_65,18
values_62,32
values_21,10
values_95,22
values_84,12
values_58,32
values_64,3
values_83,24
values_94,7
values_0,13
values_99,10
values_96,15
values_67,31
values_61,26
values_43,20
values_2,19
values_54,6
values_30,30
values_59,7
values_85,5
values_74,31
values_90,29
values_18,23
values_52,18
values_44,30
values_17,25
values_36,5
values_49,31
values_86,4
values_37,23
values_56,32
values_63,23
values_35,30
values_97,2
values_75,32
values_57,27
values_88,14
values_10,13
values_53,13
values_8,20
values_39,15
values_47,19
values_60,2
values_89,30
values_51,22
values_14,15
values_28,13
values_16,25
values_34,28
values_82,15
values_46,26
values_27,22
values_20,2
values_9,10
values_92,16
values_3,16
values_98,29
values_29,15
values_80,29
values_73,12
