inputName,n
values_11,22
values_19,33
values_12,67
values_38,77
values_81,81
values_5,20
values_40,52
values_70,83
values_23,122
values_72,122
values_79,55
values_78,116
values_87,110
values_6,75
values_68,3
values_69,67
values_1,101
values_45,79
values_33,11
values_15,101
values_93,97
values_24,63
values_25,91
values_26,72
values_48,18
values_71,17
values_76,105
values_7,12
values_50,119
values_22,57
values_4,54
values_32,30
values_77,3
values_91,63
values_42,12
values_13,76
values_41,74
values_55,96
values_31,96
values_66,61
values_65,116
values_62,105
values_21,40
values_95,95
values_84,10
values_58,90
values_64,35
values_83,84
values_94,15
values_0,119
values_99,119
values_96,4
values_67,90
values_61,65
values_43,3
values_2,38
values_54,59
values_30,111
values_59,41
values_85,24
values_74,16
values_90,3
values_18,83
values_52,90
values_44,105
values_17,90
values_36,35
values_49,123
values_86,19
values_37,16
values_56,12
values_63,37
values_35,83
values_97,25
values_75,17
values_57,28
values_88,22
values_10,36
values_53,41
values_8,11
values_39,22
values_47,96
values_60,113
values_89,29
values_51,102
values_14,94
values_28,13
values_16,18
values_34,108
values_82,45
values_46,24
values_27,110
values_20,23
values_9,110
values_92,63
values_3,87
values_98,56
values_29,72
values_80,67
values_73,34
