inputName,n
11,79
19,99
12,109
38,21
81,4
5,108
40,113
70,118
23,123
72,53
79,38
78,89
87,103
6,15
68,111
69,83
1,16
45,125
33,8
15,6
93,21
24,63
25,82
26,86
48,107
71,72
76,126
7,82
50,6
22,126
4,10
32,28
77,118
91,64
42,43
13,60
41,69
55,77
31,53
66,87
65,103
62,109
21,26
95,27
84,6
58,91
64,84
83,33
94,110
0,42
99,40
96,71
67,120
61,19
43,73
2,34
54,59
30,37
59,126
85,42
74,54
90,116
18,99
52,83
44,52
17,44
36,25
49,68
86,69
37,108
56,56
63,60
35,84
97,122
75,4
57,97
88,114
10,115
53,9
8,81
39,55
47,123
60,90
89,16
51,67
14,58
28,79
16,118
34,78
82,127
46,112
27,95
20,111
9,94
92,58
3,104
98,106
29,82
80,34
73,67
