inputName,k,size,arr[size]
values_11,228,19,"{59, -29, -28, -95, -31, -32, 49, 66, 7, -72, 55, -102, 0, -54, 32, 27, 120, -10, 119"
values_19,228,14,"{-2, -35, 90, 98, -67, -26, 103, -34, -11, 85, -123, -26, 89, 58"
values_12,228,9,"{-13, -75, 108, 126, -31, -58, 100, -112, -47"
values_38,163,13,"{-34, -22, -75, -39, -39, 44, 17, -45, -59, 12, 101, -24, 45"
values_81,132,19,"{-33, -82, 125, 52, 86, 1, -30, 14, 17, 9, -89, 111, -81, 39, 102, 52, 40, 98, 96"
values_5,207,23,"{110, 77, -118, 29, -22, 8, -57, 56, 49, 70, 8, 106, -67, 43, 81, 113, 70, -14, 6, 126, -11, -106, -97"
values_40,135,16,"{69, 64, -112, 76, -73, -4, -54, -96, 24, -111, 63, -2, 9, 126, -80, 4"
values_70,206,16,"{1, -111, -96, -101, -33, -107, 123, -65, -29, -15, 68, 93, -55, 65, -115, 18"
values_23,165,8,"{-37, -55, 99, 3, -114, 84, -21, -124"
values_72,206,9,"{89, 77, 16, 27, 65, 0, 78, 76, -91"
values_79,206,14,"{64, -119, -78, 95, 70, 62, -109, -113, -107, 16, 49, 70, 87, -118"
values_78,206,13,"{-104, -57, 46, -89, -80, 86, -90, 98, -21, -94, 14, -18, -108"
values_87,132,5,"{-41, -116, 22, 38, 39"
values_6,207,3,"{-39, -45, 124"
values_68,65,13,"{58, -111, -59, -26, 5, -43, -11, -12, -76, -112, 110, 51, 18"
values_69,65,14,"{47, 94, 41, -54, -123, 40, 54, -73, -95, 1, 98, 59, 116, -79"
values_1,207,19,"{-34, 30, -26, 80, 101, -85, 108, -10, -32, -48, -27, -14, 97, -57, 84, -108, 77, 58, 32"
values_45,135,23,"{87, -52, -79, 11, 101, 3, -78, -69, 67, -41, -16, -7, -82, 68, 89, 41, -47, -77, 107, -30, 122, -1, -82"
values_33,163,8,"{112, -37, -62, -66, -83, -31, -28, 57"
values_15,228,23,"{114, 115, -15, 0, 60, 66, -123, 24, -106, 1, -55, -114, -76, -56, -89, -59, 34, -71, -98, 104, -1, -41, 6"
values_93,242,8,"{103, -36, 79, 21, 110, -31, 115, -43"
values_24,165,22,"{-115, -68, 123, 42, -28, 59, 0, 122, 58, -58, 36, 9, -113, -29, -74, -126, -102, 108, -76, 103, -105, 93"
values_25,165,23,"{110, -126, -57, -25, 95, -46, -69, -16, 2, 57, 120, -109, -89, -34, -104, 30, -107, -73, -72, -82, -59, 123, 107"
values_26,165,3,"{-71, -70, -115"
values_48,135,13,"{117, 124, -64, 42, -23, 55, 122, 123, -106, 11, 120, -58, -116"
values_71,206,19,"{50, -20, -12, 72, 42, -107, 54, -100, 119, 66, -63, -61, 89, 6, -103, 6, 63, 35, 86"
values_76,206,3,"{-84, -33, -1"
values_7,207,5,"{-53, 90, 36, -42, -57"
values_50,111,16,"{-115, 119, 123, -46, 47, 87, 45, -68, 0, -35, -97, 30, 47, -72, -92, 43"
values_22,165,9,"{-53, 5, -113, -111, -38, -30, 7, 57, -37"
values_4,207,22,"{101, 114, 123, 10, -8, 2, -123, -50, -31, 98, 73, -44, 0, -56, 36, 117, -62, 71, 27, 30, 103, -37"
values_32,163,9,"{-67, -111, -87, 19, 70, -90, -10, -92, -20"
values_77,206,5,"{-74, 108, -69, 82, 45"
values_91,242,19,"{71, 72, 38, -29, -50, -76, 32, -12, 101, -15, 78, -101, -79, 8, 52, -117, 16, -125, -68"
values_42,135,9,"{53, 24, 62, 95, -81, 49, -125, -43, 67"
values_13,228,8,"{-121, 109, 38, 32, -92, -38, -62, 74"
values_41,135,19,"{-13, 101, 49, -123, 27, -95, -116, 46, 36, 40, -52, 77, -37, 85, 13, 112, -89, -32, 6"
values_55,111,23,"{-101, -53, 27, -68, -87, 112, -58, 17, -72, -15, 34, -111, 126, -19, 41, -41, 27, 53, 92, -20, -74, -33, 64"
values_31,163,19,"{-102, -19, 75, 57, -114, 98, -99, 2, -94, 2, 121, -97, -97, 123, 49, -94, -23, 79, -42"
values_66,65,3,"{22, -76, 111"
values_65,65,23,"{57, 35, 85, -101, -9, -93, 33, 103, 99, -99, -9, 53, -11, 61, 113, -69, 22, 56, -122, 54, -114, -14, -62"
values_62,65,9,"{24, -109, -101, 8, -75, -104, -58, -74, 15"
values_21,165,19,"{-34, 8, 24, -56, -19, 78, 66, -111, -36, -17, -125, 19, 23, 112, -7, 67, 121, 58, -113"
values_95,242,23,"{-102, -74, -119, -33, -38, 104, -13, 58, -50, -62, 22, -88, -82, -73, 50, -69, -7, -49, -37, 91, 75, -41, -6"
values_84,132,22,"{-91, -31, 98, 115, 57, -60, -48, 27, 11, 119, 32, -8, 114, 60, 65, 6, 19, -15, 88, -64, 122, -113"
values_58,111,13,"{-112, -27, -122, 99, -77, 82, -100, 48, -56, 101, -84, -98, 0"
values_64,65,22,"{67, 85, -32, 89, -16, -5, -76, 118, 95, 73, -14, 33, 63, -103, 55, 106, -30, -66, -123, 85, 44, -28"
values_83,132,8,"{38, -93, 22, 34, -97, -116, 105, -9"
values_94,242,22,"{12, 27, -91, 58, -83, 39, 43, -55, -74, -7, -86, 1, -109, 1, -52, 101, -33, 51, -40, -23, 43, 36"
values_0,207,16,"{0, -93, 88, 9, -48, -115, -36, -8, -76, -58, 81, 78, 12, -5, -45, 8"
values_99,242,14,"{87, 7, -118, -114, -87, 123, -51, -125, -54, -71, 67, 88, -16, 28"
values_96,242,3,"{-6, 25, -39"
values_67,65,5,"{5, -93, -91, 88, 79"
values_61,65,19,"{-25, -20, -11, 62, -91, -108, 35, -88, -123, 50, -68, 44, 118, 40, -73, -41, -37, -83, 122"
values_43,135,8,"{14, 75, 18, 107, 28, -33, 120, 55"
