inputName,k,size,arr[size]
values_11,113,13,"{-3137787755157671769, 5521622206412462695, -2785922514616820623, 7400231026008634190, 114893929809846636, 9011167328067273242, 3899606739189530694, -6644115296249671540, 1411452266284131104, -7878440300192825626, 956692473698670840, -3709526834467107455, -1715233417807972610"
values_19,113,9,"{-4256642487398236379, 8490703638826786462, -5358149360702538261, -498422726467243048, 7472999125714626627, -3244746584891856604, -4052617145860003886, 5267920306113658896, 3551866951968456232"
values_12,113,18,"{8879903517472757091, -3917692382436370191, -2229795055516470665, 6992283649636497737, -6675352051694358848, 4709439879007924923, -2302555356691761459, 6053074822015110021, 6544404799021093482, -4952758753730645402, -984974321635256008, 4204211360579657712, -7131831283238765068, -6489881263926775540, -5340276369568520459, 6397293772095886702, 741143362151314676, 2620718142304895185"
values_38,230,13,"{7753797754635188391, -7587727148911079776, -4299270161047285368, 5452873567464941329, -2982209499980615243, 7293243230311135758, -6017476247297172478, -6147988318306322444, -8547540122371703369, 6959058036053376609, -7022537951425718295, 4215663332378759565, -3100969583917813411"
values_81,144,13,"{-4109663736053658327, -9222349844925538566, 4351574659475176402, -2678266724707979138, -2449876958787573996, -8612841928319611000, -7891248412111012693, 7475454009771830102, 4665638176402118581, -7543467855470062198, -2341157293389069515, -2826605653954393432, 13821477782891329"
values_5,190,26,"{3273582740995143817, -3205645020407431178, -8795267125400733148, 7102460815095820987, -9090081606145566055, 8469317234216838302, -7063885883291995883, 7122227962590542910, -3048719111408638073, 5216916591512805407, -4961631363159530969, -4955365248083417501, 5630589235750955001, 8764417585185408330, -6229232486774099225, 4479020994587732230, 9086940235604933911, -4481089270487780957, -3090396129385737725, 4639472405327343739, 2767413537816363843, -8006677520099338395, 484889938053376971, -3924330467479867526, 7121809099162126514, 8071729779706382829"
values_40,190,21,"{-8200056823135389116, 245898439672039658, -7612195251570206165, -6801454284591126802, -1935066066165016207, -7798828447000675670, -8319019017064681497, -4237132723506738414, 7238965534093176341, 297116408976723345, 8817479328660673366, 2620423499304999400, 3777051273779985275, 6623276019440458226, -3013933583944480347, -3538708018219191986, -9147664469409083751, 1246121933623464843, -195708204786461986, 8996235031383612328, -5131400907374775299"
values_70,179,21,"{-6836169107513754442, 8850126580054794404, -2913711510425114366, 8430238577397225354, 9071852420462205521, 6736874195645505039, 9198769004488976170, 931754570665823852, -1440054441471195006, -5745996543363523608, 2362283643843627945, 3470145693152703839, -5124854150714305932, -9188811808634223740, -5595200468255556655, 4893887941830023868, -4750235370760414559, -296733617100254788, 6076421356149887318, 1788290576388485189, -8628291355806323753"
values_23,167,25,"{7398359745177862547, -731142293293058968, -9214306831503013597, 6791100485292428606, 2093244705851254185, -2305137814058328415, 6924064181146178456, 2094030917914042059, 8952968001037435426, 2340048960544875046, -8758386425000059972, -7830555154913334474, 86341800986157886, 4552452906100439235, -3000926562142666902, 4035381876926987237, -9096300772247769421, -9102576911505950866, -4144818681815686855, 4222237270843374059, 2741837123156368246, -7275003604750026934, 4271683418576487196, -3778503934118271922, 2037605862808952037"
values_72,179,18,"{5702624321751223532, -1721764595992230527, 5234846668905910251, 5132694954504318553, 4735775104768096345, -7588677259148420625, -6770112902239462619, 4746590861635123891, -3346844463619390633, 563178193108523453, 2148010299635669120, -2462576962216521473, 60773231400543935, -3072313289120564107, -1915397373154292483, 8914882428867380518, 341297258403738152, -5543594840674424613"
