inputName,size
11,23
19,3
12,28
38,4
81,24
5,5
40,25
70,13
23,28
72,23
79,30
78,13
87,17
6,19
68,4
69,29
1,3
45,20
33,4
15,8
93,17
24,24
25,23
26,31
48,21
71,27
76,17
7,10
50,2
22,13
4,3
32,30
77,9
91,23
42,11
13,20
41,28
55,6
31,17
66,20
65,19
62,3
21,31
95,10
84,11
58,14
64,6
83,25
94,22
0,24
99,11
96,15
67,11
61,6
43,2
2,9
54,27
30,2
59,20
85,9
74,3
90,26
18,17
52,12
44,26
17,3
36,14
49,17
86,30
37,26
56,21
63,3
35,10
97,31
75,13
57,32
88,8
10,30
53,19
8,25
39,13
47,13
60,4
89,28
51,15
14,19
28,18
16,18
34,6
82,26
46,31
27,3
20,6
9,30
92,26
3,4
98,19
29,27
80,21
73,3
