inputName,k,size,arr[size]
values_11,143,24,"{3239545438093303430, -8058929759978122347, -4394910931112716829, -1770713423570617647, -3940805752110788818, -1279152055841146784, -1816588118564932545, -3445480668297890198, -2429636890958940125, 330851335951301090, -1923972944830522092, -1913566314425475742, -5789253380549329970, 7270404336993678913, -2909075728675808494, -2364146265469859514, 8495260712812972503, 3781707362523782548, 7438300775986636921, -7940006628166753571, 3684586706071660, -4538218997880824611, 5290903290575918346, 2850490149676871623"
values_19,143,28,"{-1081201888774595740, 2262746041206864995, -3142616042812608250, 536569594905895580, 6674378284016101702, -4459150298451191679, 3038951420749616023, 7040344813502501778, -4174832121908152091, 2956182334648042476, -8854515988882805207, -5075616934482008711, 8945644840134695746, 3110172043920710838, -4950004026245486333, 4835798269657441510, 5513484481936719303, -767219893407970221, -9101081731021036568, -4948776279821970631, -4945526404530974319, 2340652544109716408, -8571369934864176514, 5561487996629731716, 1162899989440652720, 1349686780612210272, -6843717748226694340, 3431127619079775962"
values_12,143,18,"{1852645476490787870, 6657996456333484246, -1936872572651778782, 7553783543155341967, 1953788911461666461, 3410242337832287472, 6234830781421947804, -1367106793774987516, -4214602630571505031, -2900578618325890242, 6756461286502172620, -6016679068194535457, 3083494431871938483, 1795391678477144771, -2167733341556618732, -6827186358855209345, -1220952582657757840, -3136456379539219877"
values_38,81,7,"{-3952694536749057938, 6217459713533918268, -5727773577675015675, -6088138119397896916, -3426015987740614456, 6022385315933944723, 3471377712787326788"
values_81,107,24,"{-7409907964490218771, 9003582430702732675, -3194975688294402962, 8086873697601267731, 2852267810241757656, -3812802151166313546, -6553807357330298531, -7072160385084088895, -2352036047174409458, 5455813973556029995, -4694164109789115132, 872715041226585923, -660748071867859833, -3920822228589851913, -8981146946839522885, 4283692481722278904, -7744082929267707026, -1657765068328750578, 5898676696161830976, 375781175617330873, 5304816896366885967, 3525795728580032246, 1400975388198096375, 6134204785500930303"
values_5,254,14,"{2802756391980370374, -4286317920620288889, -2902248307888644288, 2288014302796868943, -4639373597813485405, -5132676825513665020, -5710617753669917803, -3400638804689724586, -7186209214343643502, 313501330511114747, -7012110792878457811, 1865664453322634962, -5130597292253852062, 2053745488879096486"
values_40,98,16,"{6029667426346689966, 3752165282506041626, -8464931910740679437, 1727657515556488607, -3028750046202450965, 7373309953574894124, 7943800634147070667, -4822628021734640641, 3494332574805212985, -7497304912212122103, -27838785116147380, -3011842009123411612, 4189117623423877144, 4609482375751555531, -5139321106094185384, 8506913161762475265"
values_70,143,16,"{-616001009133802562, 1754883056425126068, -3951577691913747271, -6179527895448522479, -5385172925420095971, -5579486264709760432, 4447269879951144525, 8078002209397142908, -3760611776134298001, -8843627426996454055, -7431228289951841484, 7676790142216749761, 1146827873794501314, -1104833542254073038, 3330473251980485944, -741959093085255856"
values_23,101,14,"{-4343144864544650850, -8940189258382817390, -4484353332606079755, -7892769816090697511, -1173735481274819244, -2270404509515818560, -4980051265224949488, -793181760983744996, 1427714534679078923, -378564998095966777, -8333704765651141937, 4387434063757193320, 1243713329475421848, -461935648380371113"
values_72,143,18,"{-3651906721207978058, 7450192172909914610, -6884711902409590898, -1006375533110768856, -8221458764767566199, 1636389075462780137, 9218380571765480892, 4045165607977616143, -6271640616373250497, -4345143796631110770, 8770763443389619609, 4411365937869806095, -5896653049530134048, 7135872197823620205, -2489591013950602321, 1092260571412062757, -674413223948438707, 8087298665822979797"
values_79,143,28,"{3392182820379066289, 8737485548213037710, 8880114199283317463, 4470352356009730742, 1151518386075478349, 6733181702949092248, 6068389759165842047, 7944116169954292400, 1070858011138407473, 1547484843814335216, -372974622030396961, -52355675986362394, -3982766970038351348, -169977054952875995, -3606915779194229276, 9207974045493016380, -7761699696550654867, -5638489263089699671, -484657486882653451, -8761705178909135430, 3278192980647620882, -1975977999726189359, 8401306755520292812, -7836730610237728514, -5414611715292431401, -98804577045107511, -1049897272208491699, -7339261637139149589"
values_78,143,7,"{-535767637016729010, 825151946149326802, -7393380746463968429, -807980635043634417, 1699500908376023074, 3785152233323275100, 2605595134749504141"
values_87,107,3,"{-4262554077310720150, 4465215959271242419, -1696436851893802995"
values_6,254,30,"{1148629194125378212, 2150569858085818398, 5519769302740960557, 1222846970856884251, -1095963741583424524, -6266281445236079637, 3788886240177327272, -5787003829734352733, -4928064672500137716, -314157250167934788, -142960402738414458, -4940101238354080906, -559458811885603109, 8900942507833551886, 836172358361209273, 3213364932586151492, 5647088928364306385, 8689058894741508286, -955064669668366501, 6546734631391342574, 4681274839261137803, 7811308201422014405, -264419845098952434, -1330004962233807840, -5050792300744017128, 8483748146332104985, 5538698887120804801, 447236247011746190, 4642664011073955633, -272857575059501816"
values_68,172,7,"{-1351322024523857774, 4145509537349659645, 8746052946573233025, -6639102663367422646, 6220439464872329716, 6895615250887004167, 3363580478020300117"
values_69,172,28,"{-2864330421225275216, -6541194414597112970, -2859679815214800194, -2378303548341578509, 4755370983703587041, 668650688542882031, -2457457860480538597, -7507161347599108729, -7197155575485475456, 5617944142005297783, -1584182879270053795, 3440077914297902137, 726278456984736566, -8032974321663857920, -5851093276630271127, 4305255365851587041, 4886469826557372931, 8213886550754616460, -5544128984986472652, -8386163941643477898, -1385051317375002146, 1123797098198527846, 2919010555388079882, -3237224884654117562, 798173203498740958, -7571032066547402143, 1337170244050874469, 8419511395744223639"
values_1,254,24,"{-6816764551227383460, -9111531245371135288, 807841001372449856, 7637545605335009035, -8681180555544480556, 4935254312683843659, 3530340093697346334, 9219222873332393263, 5362886109607808224, -26032570458220603, 6710893634894802870, 1487758168846437377, -2124406461556662135, 456650374450711023, 5478131126630304087, -3089456546198176885, -1568721620922565044, -667157987214383836, -7332685178898803750, -7092735901680519611, 8568326008793956947, -5450736703434470344, -6051773830107420834, -8476617006568153626"
values_45,98,14,"{2037231394546874468, -227724735187128471, -2966607494124726160, -4146575930721550260, 2681797051759503613, 160770403215920946, -1059493271737401765, 1395573353713003750, -4423761178714624651, -4066676372144483175, 8414312458603207402, 4099285645496270137, -2828594452741943371, 1726252974215708492"
