inputName,key
11,29
19,31
12,26
38,6
81,29
5,3
40,8
70,8
23,18
72,26
79,31
78,6
87,3
6,27
68,6
69,31
1,29
45,3
33,18
15,3
93,18
24,5
25,3
26,27
48,6
71,29
76,27
7,3
50,8
22,26
4,5
32,26
77,3
91,29
42,26
13,18
41,29
55,3
31,29
66,27
65,3
62,26
21,29
95,3
84,5
58,6
64,5
83,18
94,5
0,8
99,31
96,27
67,3
61,29
43,18
2,26
54,5
30,8
59,31
85,3
74,5
90,8
18,6
52,26
44,5
17,3
36,27
49,31
86,27
37,3
56,27
63,18
35,3
97,3
75,3
57,3
88,6
10,8
53,18
8,6
39,31
47,3
60,8
89,31
51,29
14,5
28,6
16,27
34,5
82,26
46,27
27,3
20,8
9,31
92,26
3,18
98,6
29,31
80,8
73,18
