inputName,size
11,13
19,12
12,28
38,8
81,2
5,6
40,2
70,9
23,20
72,19
79,27
78,30
87,3
6,23
68,10
69,8
1,30
45,26
33,14
15,26
93,28
24,30
25,24
26,18
48,5
71,9
76,24
7,16
50,29
22,29
4,28
32,26
77,23
91,28
42,4
13,18
41,2
55,6
31,13
66,8
65,21
62,24
21,16
95,14
84,19
58,21
64,15
83,5
94,14
0,29
99,30
96,23
67,7
61,4
43,8
2,30
54,17
30,8
59,21
85,30
74,13
90,9
18,21
52,27
44,13
17,23
36,9
49,16
86,17
37,14
56,14
63,20
35,10
97,12
75,22
57,23
88,5
10,27
53,20
8,26
39,24
47,17
60,25
89,18
51,8
14,19
28,20
16,12
34,4
82,5
46,4
27,22
20,11
9,19
92,31
3,20
98,31
29,31
80,11
73,32
