inputName,n
11,29
19,29
12,29
38,12
81,18
5,11
40,7
70,2
23,21
72,2
79,2
78,2
87,18
6,11
68,32
69,32
1,11
45,7
33,12
15,29
93,2
24,21
25,21
26,21
48,7
71,2
76,2
7,11
50,31
22,21
4,11
32,12
77,2
91,2
42,7
13,29
41,7
55,31
31,12
66,32
65,32
62,32
21,21
95,2
84,18
58,31
64,32
83,18
94,2
0,11
99,2
96,2
67,32
61,32
43,7
2,11
54,31
30,12
59,31
85,18
74,2
90,2
18,29
52,31
44,7
17,29
36,12
49,7
86,18
37,12
56,31
63,32
35,12
97,2
75,2
57,31
88,18
10,29
53,31
8,11
39,12
47,7
60,32
89,18
51,31
14,29
28,21
16,29
34,12
82,18
46,7
27,21
20,21
9,11
92,2
3,11
98,2
29,21
80,18
73,2
