inputName,key
11,23
19,14
12,18
38,31
81,23
5,18
40,15
70,15
23,19
72,18
79,14
78,31
87,28
6,22
68,31
69,14
1,23
45,18
33,19
15,18
93,19
24,4
25,18
26,22
48,31
71,23
76,22
7,28
50,15
22,18
4,4
32,18
77,28
91,23
42,18
13,19
41,23
55,18
31,23
66,22
65,18
62,18
21,23
95,18
84,4
58,31
64,4
83,19
94,4
0,15
99,14
96,22
67,28
61,23
43,19
2,18
54,4
30,15
59,14
85,18
74,4
90,15
18,31
52,18
44,4
17,28
36,22
49,14
86,22
37,28
56,22
63,19
35,18
97,28
75,18
57,28
88,31
10,15
53,19
8,31
39,14
47,28
60,15
89,14
51,23
14,4
28,31
16,22
34,4
82,18
46,22
27,28
20,15
9,14
92,18
3,19
98,31
29,14
80,15
73,19
