inputName,nn,size,isign,data[size]
values_11,1,22,1,"{-8131454874748996591, 3856254972702294702, -7066787536732322637, 5689805860470823408, 1192244906486738092, -5658814586295521973, -3821880940431683989, 1821965903174968329, 6520194064393946458, 7789008776318325068, -1559378518952220909, -493414165086805572, -1405034751761026572, -7019898122094915878, -7347541672782118365, -7975338936657260442, 2364348091589664791, 4654282447145076106, -3922048803071035019, 6281402264274057958, 1433308895675279204, -6505115726834466725"
values_19,1,27,1,"{-964382615658979629, 1903846412416452222, -3757184767376935906, 598155991284936671, -4406203856787743660, -6131921075558412451, 4159348229311691859, 7517657507309096690, 3122520151233752973, 5277115467014773728, 9215780440610416893, -8150135591795256766, -22111225747415327, -1599075572061275097, 4911855878139893431, 5535458263182401246, -1539383979750238961, -5038832197732896272, -4548081639725300206, -6148284175781033716, 8064618997195730241, -1129727233449823276, 3439077626045922945, -2689463358561944529, 2305097114421981840, 7230585384075917880, 4927915650330016501"
values_12,1,3,1,"{730267658256354391, -75336629295139916, 5329439274670619608"
values_38,4,13,1,"{-8733296127778390058, -1093298664000547559, -5887877116514843977, -951917103116212456, 1471362523427266141, 3514639945104619396, -8217458706334048889, 3393914235887112830, 2571770973012841780, 3778266518306634867, -5577308259011233287, 9108927571599776132, -6926779552626806779"
values_81,3,22,1,"{6195108949427647393, 6762862861853614186, 3514511563864415428, 5139293096947998600, -8423219937655511555, 7817631871260440412, -4399641203281761491, 5585012751670509156, 5687239068148930540, 7437818313619422752, -3592917123695718450, 1131449654937778246, 7202848346731546678, -783602482440324024, -552202203484274611, -7785448368885495470, -4666112199560755836, -2520049430409761167, -6010145865495770186, -5429639266890215418, -5797605009643022757, -4796800592154257557"
values_5,3,25,1,"{-8314795821749780668, -3864279881034789895, 4896997059145501235, 233076601515622357, 6590707031578976331, -8649153024237841995, -136400115090248782, 1857621088589649815, -649982216453356661, 2875339960828137998, 6187263063089672750, -3573674047717588325, 6280121279251204504, -4024841844252379491, 2777619487594915727, -429993582300994848, -7129222238080323750, -2807294524208656295, -6619549208351000522, 2498494978835288754, -7746744122753937632, -7238187186091175841, -7451125239059884870, 501522349004248518, -1371574742591874266"
values_40,1,15,1,"{-6929142332624453290, 6071561413291280978, 341290191851468947, -3183848891047714510, -8124107601323398759, -6083956831592996933, -5729440515742706564, 6032614346049440908, -8808271143681657398, -7450578921163924600, 3342469999920607577, 4893677739571453509, -710319645904414808, 7344036185145445012, -6003153410689476045"
values_70,1,15,1,"{8101430350430002371, 6659913712643119415, 6355973695003293844, 8759687345465777019, -775790753900604966, -7526597816959855266, 8180677666160071795, 3048406856268705635, -2841419109305132034, 3254725405096309219, -4978956032709642587, 7902546068898692636, -4009635060086883576, 2706825926513675049, 2615655544604378877"
values_23,2,19,1,"{2624879044450535333, -1580865223942687416, -1746934575485567533, 3255998927426698137, 1082660510031326292, -2877972828360836283, 7513734105658642150, -4798717960120012042, 1402238753970884017, -4189255691755328756, -6171674198632761116, 541965843476728280, -8210333960875591893, 120695243732310547, -3401317696840174950, 7898832272837379280, 5285765183496604279, 4116499997319348870, -3583750469969919300"
values_72,1,3,1,"{6568709142859985054, -1917472397560091615, -3521266757279925392"
values_79,1,27,1,"{7662517163892037806, -6896330078689655922, -3253838664411510536, 6875547143584353110, -267218182945186410, -3838818069091628876, -8559911359419252910, 7606648512120948214, -3410393416869447412, 8220242933146666832, 8701877619239971493, 511850584192716037, 6062147051124411686, 9002069694176052318, 359971514915292276, -420785983600991815, 4602908388707595465, 1848673072447643761, -1637651864016378759, 7486386871336125604, -5403654256442751682, -1909339684275347901, -3012865074674112528, -177580280636844817, 4014496521785373098, 670999855539710498, 1021175518905609754"
values_78,1,13,1,"{8336398033313548137, 4838564441231094710, 4181251936265108068, 8759245883607489359, 1860742058247232054, -5586239487571149918, -7860608334837801657, 3007669162610238111, 7106004175414954987, 5853635941295771353, -8969526526997759141, 2479041900106780479, -6783668479713607015"
values_87,3,5,1,"{3084331658949540314, 7507173593631374903, 6668242028540485537, 1476640783416836682, 6383156266780689096"
values_6,3,9,1,"{8632266868871234678, -4718272289693315908, -6158699554182824940, -9034053552883424559, -856794396162189043, 2034645406408212324, 4653581253909684997, 3234914389145916241, 2990535432828658336"
values_68,1,13,1,"{-8869626221039257325, -3996884358710418260, 5517653871524778669, -3210894460418924164, -3368893063292978640, -836426372525981564, -2483110898390829636, -6232272770278931854, 4446330960402644915, 4994090554867132225, -8189225793259699964, 2909969896428723423, -1436451161130256342"
