inputName,val
values_11,27772
values_19,18198
values_12,19965
values_38,27973
values_81,14469
values_5,12150
values_40,28667
values_70,31239
values_23,15502
values_72,8883
values_79,15302
values_78,15081
values_87,13068
values_6,10106
values_68,5182
values_69,16322
values_1,24744
values_45,28614
values_33,31945
values_15,22816
values_93,21040
values_24,20716
values_25,5349
values_26,25744
values_48,9731
values_71,3100
values_76,20319
values_7,13640
values_50,29188
values_22,10657
values_4,31137
values_32,26885
values_77,28018
values_91,416
values_42,17121
values_13,22168
values_41,30648
values_55,30062
values_31,21982
values_66,5584
values_65,27899
values_62,7507
values_21,22830
values_95,6818
values_84,20732
values_58,30396
values_64,29439
values_83,28483
values_94,9578
values_0,25426
values_99,25529
values_96,26517
values_67,13429
values_61,23822
values_43,13507
values_2,16505
values_54,1957
values_30,13896
values_59,24515
values_85,1869
values_74,32196
values_90,25567
values_18,30036
values_52,9894
values_44,19564
values_17,28266
values_36,12090
values_49,7200
values_86,1140
values_37,3614
values_56,2293
values_63,21384
values_35,20742
values_97,11681
values_75,303
values_57,24176
values_88,11446
values_10,4809
values_53,10238
values_8,6274
values_39,20838
values_47,26938
values_60,10604
values_89,22411
values_51,6335
values_14,14928
values_28,19532
values_16,23023
values_34,23665
values_82,23494
values_46,13871
values_27,6032
values_20,19645
values_9,9172
values_92,17914
values_3,23524
values_98,18835
values_29,10088
values_80,30282
values_73,3627
