inputName,k,size,arr[size]
values_11,238,21,"{-15150, 7083, -31913, 11043, -21708, -26517, -10848, -20976, -6498, 19165, -18017, 16317, -29600, -19210, 22071, 30086, 25037, -825, -28698, 30952, -30930"
values_19,238,21,"{29324, -31508, 26805, -4303, -15435, -18599, -18598, 25570, -15571, -3172, -6004, -17484, 8493, 11122, 6704, -4372, 20399, 19935, 27545, 10604, -22800"
values_12,238,11,"{-22652, -18605, -25550, -5820, -32401, -21824, -5746, -365, -14744, 21540, -19681"
values_38,151,17,"{12831, -3798, 9608, 21109, 26900, -15816, -5560, -10509, 28578, -2937, -9282, 27888, 16251, -16361, 2758, -29701, 32165"
values_81,18,21,"{28717, 24353, 28965, -27224, 28458, 10549, 23135, 25069, 28087, -32602, 5164, 12256, -26807, -15153, 23301, -5466, 3899, 10121, -23310, -15079, 25608"
values_5,201,21,"{23106, -26821, -12707, -20656, -25429, -18695, 21243, 9595, 29796, -13790, -10242, -7591, -28504, 16626, 18854, -31294, 21115, 28043, 11495, -8493, 19645"
values_40,204,8,"{-16769, 2069, 23085, -25699, 18157, 3150, 15312, 10521"
values_70,215,8,"{15764, -17294, 26145, -5295, 31903, -30811, 19409, 8574"
values_23,229,3,"{-18202, -1452, 4176"
values_72,215,11,"{-11095, -4083, 14542, -17656, 17883, 12280, -15884, -1692, 27887, 29532, -29828"
values_79,215,21,"{29668, 8384, -12180, -24002, -29265, -29177, -4033, -9484, -6237, -5922, 30647, -22182, -29232, -23478, -6997, 21677, 13635, -15650, 30291, -12838, -24016"
values_78,215,17,"{-1642, -18005, -13960, 1072, 30050, -32611, -23661, -7087, 10474, 21181, -14083, 23453, -11198, 7501, -16361, -1216, -9731"
values_87,18,21,"{-11955, -19038, -12247, 28842, 11625, 25690, 21610, 18035, 6939, -883, -14589, 23566, 26771, -22072, 13277, 17117, 9601, -24664, -24071, 31630, 29284"
values_6,201,24,"{15690, 6867, 20135, -3010, -31867, -9269, -18607, 15243, 13410, -22812, 18715, 19255, -25811, 23388, -1419, 3370, -26865, 31615, 10225, -20249, 26455, -18464, -16361, -1693"
values_68,222,17,"{-1531, 28705, 29847, -14106, 12342, -15157, 1470, 32166, 8312, -4337, 24263, 10348, 2434, 10577, 12935, 23434, -7459"
values_69,222,21,"{30510, -354, 31914, 28541, -1655, -6359, 5674, 6626, -3186, -9367, -17712, -24561, 10619, 26831, 31177, 25395, -22695, -9417, 3894, -27122, 18950"
values_1,201,21,"{1143, -22923, 19555, 3248, -6022, -3995, -21286, -19392, 8798, 1933, 23561, -6847, 30831, 25144, -1736, -14398, 11418, 32258, 30605, 20528, 12345"
values_45,204,21,"{15720, -30891, 17020, 19379, 9857, -9494, -8526, -2773, -12336, -27817, -4369, 20401, -4778, 22112, 22560, -13919, -15343, 10335, 17637, -13175, 335"
values_33,151,3,"{-21932, 4515, -19297"
values_15,238,21,"{5131, -3756, -16662, -24789, 9173, 22075, 31282, 25800, -28038, -22043, 25005, -16134, -25467, 23117, -21136, -20769, 16246, 15080, 18000, -7805, -1823"
values_93,216,3,"{-27389, 24788, -12346"
values_24,229,18,"{-26718, -22445, 26447, -3161, 5524, 8007, -24772, 14847, 29788, 10471, 18109, 4306, 29806, 22081, 12427, 25315, 2446, -5620"
values_25,229,21,"{26317, 5426, 8452, 24267, -30182, 23602, 17676, -21130, 28624, -12386, 9828, 22548, -18051, -3002, -1241, 28396, 32675, 31335, -14580, -16793, -31584"
values_26,229,24,"{-26018, -28270, -4936, 18815, 29142, -12882, -3692, 11405, -28180, 4339, -27993, 8464, 12347, -11106, 14385, 15228, -25702, -29413, 1584, 264, 1685, 23562, -13924, 15633"
values_48,204,17,"{30496, 16016, 28921, -19583, -13057, -4342, 13105, 18442, -14994, 12633, -9309, -6973, -15581, -2963, -21849, -32427, -8764"
values_71,215,21,"{9806, -14081, -19635, -24328, 15845, -3485, 18734, 14890, -2824, 195, -12363, -28747, -18441, 19548, -19929, -10767, -16674, 1338, 25585, -1854, 26009"
values_76,215,24,"{11035, 21677, 24969, 6676, 26611, -10964, -5302, 3001, -25705, -21248, 16541, -3913, -5120, 22769, -16557, -28064, 13466, 16146, 5604, -23711, -2050, 16540, 21102, -24751"
values_7,201,21,"{-18287, -11397, 25679, -16440, -17340, -4953, 4629, 27643, -16956, -15640, -18547, -6314, -2219, 32118, 30163, -4606, 11361, 3431, 11745, 31106, -24057"
values_50,160,8,"{10108, -18151, -27893, 1891, 31944, -7625, -7054, -6498"
values_22,229,11,"{26885, 14338, -3959, 19064, -25269, 2024, -31288, 17278, -28325, -6245, 31921"
