inputName,nn,size,isign,data[size]
values_11,8,3,-1,"{1534, 7305, 23769"
values_19,8,17,-1,"{-6642, 19981, -20038, -181, -20016, -11132, -4065, -6375, -31120, -27660, 16435, -11957, -32526, 21194, 5330, 8080, -714"
values_12,8,17,-1,"{25825, -7117, -26814, -13957, -19343, 7520, 1168, 25924, 3399, -5122, 1841, -4983, 25516, -29138, 28941, -7168, -26377"
values_38,7,6,-1,"{-16481, -26006, 31353, 4035, 10360, 9909"
values_81,7,3,-1,"{-18056, -28807, -10409"
values_5,4,27,-1,"{22466, 14651, -12077, 1213, -27235, 6523, 16751, -273, 25343, 12065, -15777, -28141, -28061, 29167, -404, 21264, 19606, -13337, 9863, 2101, 6377, -4847, 13061, 29990, -13532, -23170, 15168"
values_40,4,4,-1,"{-15006, 9432, 18191, 5980"
values_70,4,4,-1,"{-24950, 26583, 3148, -28877"
values_23,8,14,-1,"{2092, -18163, 15011, 19739, -20707, 11838, -2913, 7691, 16679, 10765, -17696, 1478, 8201, -16898"
values_72,4,17,-1,"{-9635, -16529, 215, -26069, 18266, 4856, 15862, 30689, -31838, -24989, 431, -11652, 10552, -28158, -2854, 118, -26204"
values_79,4,17,-1,"{10725, -20390, 31712, 3885, -5218, -19852, -31984, 7024, -575, -955, 4432, -3137, -7030, 27850, 29011, -4212, -25697"
values_78,4,6,-1,"{16641, 1262, -28494, 31757, 20728, 24354"
values_87,7,25,-1,"{1512, 8056, 30609, 13516, -30985, 29361, -31297, 871, -17788, 10040, 3770, 14010, -3965, -13323, -28174, -10095, -7492, -9716, -19119, -25897, 7559, 5485, -8039, -15484, 7092"
values_6,4,19,-1,"{15307, -24989, 18511, -29901, -9127, -13139, -13810, 25730, -26529, -14716, -9142, 13820, 5161, -23975, -19771, -27469, -7959, -28979, -13695"
values_68,3,6,-1,"{21664, -28552, -15156, 7646, -12061, 8656"
values_69,3,17,-1,"{30659, 1937, -5808, -22731, 24600, -17585, 30810, 19995, 432, 14005, -25292, -25459, -531, -2747, -8397, -12803, 14749"
values_1,4,3,-1,"{-633, 14782, -5127"
values_45,4,27,-1,"{-13504, 18385, 10394, -10510, -13574, -6735, -12745, 2093, 22400, -29315, -3213, 697, 17069, -29889, 18988, 27369, -12641, -21220, -24610, -25822, 18024, 23847, -32538, 9341, -22915, -25545, 32551"
values_33,7,14,-1,"{10291, -23191, -5061, 29000, 23492, 3422, -20071, -20365, -9994, -9767, 10255, 4467, -16781, 28553"
values_15,8,27,-1,"{-17752, -1426, 7687, 3146, -26283, 10112, -26414, -25131, -2528, -26215, -30040, -23961, 21036, -7127, -30585, -32298, 18865, -828, -17078, -23813, 1348, 23636, -896, -25635, -20321, -7162, -11166"
values_93,1,14,-1,"{-25747, -6908, 21467, -12217, 6840, -6254, 1827, 14366, -20419, 16148, 8643, 10714, 22806, -24353"
values_24,8,6,-1,"{4801, 17157, -29696, 3372, 27666, 5304"
values_25,8,27,-1,"{-22720, -27613, 13870, -31892, 5971, -20064, 27340, -4309, -25117, 16876, 27076, 311, 20420, 26735, -20350, -14601, -6131, 16463, -212, 23124, -11496, 5899, 1954, -14618, -3556, -12376, -29581"
values_26,8,19,-1,"{-18202, 2589, -28293, -20372, -22287, 2508, 13209, -23418, -28086, -9631, -28788, 25548, 5104, -25019, -29165, -4033, 16911, 3301, 16151"
values_48,4,6,-1,"{-30404, -14094, -1746, -25848, 31091, -28401"
values_71,4,3,-1,"{-1649, -2324, 233"
values_76,4,19,-1,"{32585, -30846, 13363, -11794, 13570, -24349, -23911, 29956, -30638, 22478, 2202, -32284, 29478, 7907, 9342, -24519, -7262, -10358, 15236"
values_7,4,25,-1,"{23426, -18125, 26163, 1524, -9086, 23982, 16303, 19186, 28211, -16674, 23333, -29672, -2705, 11124, 1908, -3866, 3179, -26613, -6940, 17633, 28974, 17237, -16348, -10293, -9490"
values_50,2,4,-1,"{18932, 18269, -2458, 30877"
values_22,8,17,-1,"{26090, 21683, -18665, -29230, -24035, -26784, 5530, -18875, -9768, -6490, -21828, -30993, -27864, 30993, 26251, -14469, -1074"
values_4,4,6,-1,"{3783, 26940, 17143, 20161, 11074, 11029"
values_32,7,17,-1,"{-23278, -23210, -4393, -28218, 4524, -2618, 11065, 30643, 14913, 24238, -4779, -27674, 17349, 1709, 14255, 29866, 23535"
values_77,4,25,-1,"{-27846, 959, 24950, 5368, -13027, 8103, 10419, -12040, -21275, -7, -21494, 30344, 11377, 5514, -30624, 2447, -18237, -17261, -28240, -4089, -30192, -21349, -5078, 29702, 1530"
values_91,1,3,-1,"{15928, -14820, 12078"
values_42,4,17,-1,"{19062, -20386, -4463, -18317, -11601, -16693, 27031, -250, -28792, -21631, -21144, 4806, -26933, 30621, -25890, 20297, 8866"
values_13,8,14,-1,"{32762, -14132, -6323, -18040, -8661, -12042, 9823, 1056, 3120, 1623, 1198, -31451, -17307, -24381"
values_41,4,3,-1,"{20849, 24306, 21766"
values_55,2,27,-1,"{16318, 694, 3373, 19441, 23500, 7356, 2054, -27911, 19571, 29535, -20412, 25660, -17431, 26293, -3303, 15301, -12371, -23362, -16582, -31171, 12867, 15324, 14122, 13093, 1602, -2328, 25526"
values_31,7,3,-1,"{10564, 10672, -7123"
values_66,3,19,-1,"{-5782, 4772, -32415, -22008, 12258, 24934, -17717, 15883, -14979, -22430, 26827, 28665, 16295, 13648, -17698, 2919, 30524, 23829, -17622"
values_65,3,27,-1,"{-19221, -23965, 1253, 19007, 17872, -6230, 15899, -27762, -24151, 16361, -24533, -31670, -14795, 21689, 28291, -27860, -28934, -13280, 12993, -17935, 15005, 13730, 19104, 14150, -18911, -4780, -14812"
values_62,3,17,-1,"{-1077, 29565, 21810, 8576, -21160, 9608, -23968, -6722, -32545, -13509, -23866, -19819, 3793, 28998, -28293, -4912, -11787"
values_21,8,3,-1,"{31039, -21722, 2901"
values_95,1,27,-1,"{15165, -25079, -22618, -5131, 14533, 9571, 22636, -20158, 12492, -27617, -9937, 1578, -85, 10162, -23615, -11076, 4369, 21197, 16181, -19976, -10017, 427, -27906, -1910, 8, 31064, 24836"
values_84,7,6,-1,"{21538, -24876, -14618, 26997, 31659, 27529"
values_58,2,6,-1,"{-22271, -15565, 25102, 16259, 28568, 28142"
values_64,3,6,-1,"{2383, 13304, -14361, 11559, 4928, 16380"
values_83,7,14,-1,"{12134, 4693, 11830, 11089, 15322, 29604, -28805, -26268, 18874, -21878, 11460, 4769, -21383, -24916"
values_94,1,6,-1,"{-21767, -4802, 20386, -11009, 2545, -28679"
values_0,4,4,-1,"{-14658, 17469, 29893, -3523"
values_99,1,17,-1,"{9812, 14442, 7673, -14934, 9068, -22159, 19664, 31985, 7306, -23517, -31920, 7801, 25086, -15620, -28154, 20815, 3003"
values_96,1,19,-1,"{-2133, 18548, 8918, 27318, 31885, -26800, 23392, -22161, 3497, 24707, -12349, -26114, -19801, -8195, 4497, 31816, 32280, 16850, 7398"
values_67,3,25,-1,"{6285, 19532, 13870, 17381, -27640, -19373, 24955, 5102, 15496, -19232, 14313, 16163, 8189, -15223, -5212, -23764, 28628, -12640, -30234, 8562, -9628, -17977, -23812, -8323, 9007"
values_61,3,3,-1,"{-24468, 22268, 25857"
values_43,4,14,-1,"{-26566, -22765, 24201, 8, 28074, -29627, 3156, 30001, -12384, 18013, 28930, -23385, -16234, 20575"
values_2,4,17,-1,"{-2813, -13531, -19465, -27556, 6627, 9362, 10384, 15711, 4286, -20421, 31035, -114, -936, 6566, -24009, 28054, 11814"
values_54,2,6,-1,"{-5154, 28401, 7792, -2174, -9332, 22600"
values_30,7,4,-1,"{-29113, 23234, 31362, 17410"
values_59,2,17,-1,"{-19005, -29366, 23437, -16181, -7331, 26031, 17236, 32655, 7729, 27622, 16774, -20504, 23346, -28168, -19737, 5768, 4320"
values_85,7,27,-1,"{28493, -25836, 11903, -5574, 23676, 17135, 856, 29199, 2285, -10057, -9766, -24686, -22251, 13092, 26767, 31416, 19263, 10161, 2554, -21063, 20923, -12101, -18873, 4971, -18901, -5829, -24687"
values_74,4,6,-1,"{-19109, 19110, -4105, 27920, 17402, -30494"
values_90,1,4,-1,"{27951, 2633, -14079, 3028"
values_18,8,6,-1,"{-25911, -9089, -9902, -9935, -29829, 903"
values_52,2,17,-1,"{-17512, 24926, -23101, 21589, 29797, 5282, -24502, 32580, 16978, 2414, -30243, 21079, 4355, 31806, 13657, 17877, -6014"
values_44,4,6,-1,"{-15651, 18675, 28457, -22554, 23785, -19517"
values_17,8,25,-1,"{-7735, 26773, 11522, -11911, -10980, 18614, -7979, 20746, 4343, -568, -32574, -14603, -13581, 23712, 9074, -3575, -10520, -11114, 844, 6538, 12574, -23425, -24212, 9551, 6650"
values_36,7,19,-1,"{-7329, -28170, 26163, 31514, -21858, 10260, -1119, -23061, 25901, 10035, -8368, -20619, -5001, -26929, -16702, 4823, -6509, 14412, 25486"
values_49,4,17,-1,"{17629, 6704, 5715, 1983, -28555, 9112, -14783, 5766, -27114, -13249, 19682, -19731, -6070, -9165, -10095, -29377, -15078"
values_86,7,19,-1,"{30413, -32036, -28540, 10277, 29517, -10321, 25953, 4738, -18405, -4889, 9010, -3759, -31619, -8613, 1246, 15163, -13765, -13515, -16332"
values_37,7,25,-1,"{14266, -32364, -13143, -1841, 19817, -1458, 9536, -4485, 11486, 17240, -27605, 19428, -23639, -20232, -31872, 2745, -29336, 11366, 12805, 29353, 13170, 22591, 10777, -2783, -27028"
values_56,2,19,-1,"{-4593, 17655, 20949, -8580, 15523, -9631, -32404, -32356, 26690, -19895, -2838, 14542, 6200, -22562, -13719, 3361, 30250, -11130, -5991"
values_63,3,14,-1,"{21763, 5809, 24126, -9085, -23635, -18882, 7661, -22600, 25284, -28502, 7558, 8148, 9097, 5103"
values_35,7,27,-1,"{-193, 10701, -18261, -21331, 4388, 9729, -14788, 16704, -13476, 31051, -16262, 27504, -16873, -21389, -4234, -8880, -1360, -22603, 14202, -21871, 6731, -27278, 25837, -26334, 9866, 26318, 29523"
values_97,1,25,-1,"{-2192, 315, -842, 28486, 974, -3366, 26502, -20131, -20496, -15121, -5047, -1796, -27996, 3348, -10525, -20838, 25242, -9757, 10637, -4598, -15414, 7778, 20391, -25113, -19676"
values_75,4,27,-1,"{27219, -25486, 30312, 123, 2377, -2645, -19753, 3694, 28355, -29289, -23162, 8853, 15886, 18961, 15991, 28098, 2748, 18128, 22131, -24700, -26352, -16955, 20146, -19593, -10886, 6633, 26808"
values_57,2,25,-1,"{-29171, -700, 26778, 19820, 27216, -29029, -11546, -10085, 31314, -19026, -23480, -12103, -22465, 14301, 24540, -32106, -16433, 26202, -14825, -7761, -31397, 11543, 31585, 2725, 29794"
values_88,7,6,-1,"{2527, 32266, -3326, -4750, -18305, 14940"
values_10,8,4,-1,"{18133, 26749, 24968, -7795"
values_53,2,14,-1,"{1138, -29604, -24050, -12315, -20923, 17642, -14332, -19279, -8841, 18053, -29631, -24576, 19483, -11834"
values_8,4,6,-1,"{28260, -25267, 3136, 26822, 24631, 8124"
values_39,7,17,-1,"{-28269, 21797, 3087, 17160, -26311, -31615, -25937, 4538, -7626, 20769, 20706, 6035, 23071, 8674, 16325, 7794, 21475"
values_47,4,25,-1,"{-7759, -18083, -932, -18243, -23216, -9357, -8423, 13976, 5685, -8767, 21039, -14846, -31919, 15114, 2290, -1520, -29824, 26046, -13710, -21210, 25938, -25369, -32634, 12097, -6256"
values_60,3,4,-1,"{-29430, -1400, 9108, 9170"
values_89,7,17,-1,"{6405, -29859, 10642, 22686, -28335, 5537, -31990, 31247, -1702, 27974, -14669, 24705, -15258, 11958, -8201, 19898, -4463"
values_51,2,3,-1,"{13779, -2711, -27966"
values_14,8,6,-1,"{4280, 8189, 10972, -11143, 20540, -23402"
values_28,8,6,-1,"{-30222, 32341, 8353, -19647, -24735, -28765"
values_16,8,19,-1,"{-24351, -8235, -1634, 5044, 29426, 8026, 8126, -5086, 26801, 14760, 1579, 27829, 20631, -11518, 26584, -29537, 15950, -9724, -31162"
values_34,7,6,-1,"{30142, -26855, -26491, 31204, 24339, -11962"
values_82,7,17,-1,"{-4962, 31504, 18085, -6661, 25167, -848, -30452, -6989, 1589, 31685, -8333, -18125, 26987, 25734, 20841, -9066, 30483"
values_46,4,19,-1,"{2581, -21172, -9111, 29964, 19519, -2794, -21617, 14696, 15090, -22365, 3288, -1896, -29390, -18998, -8469, -29399, -10942, 23952, -32495"
values_27,8,25,-1,"{-13442, 3363, 32435, -16778, -5903, -3618, -23390, 18678, 26004, 28775, -16262, 14492, -4859, -17871, 27399, 3647, 12796, 20032, 29412, -7053, 27632, -20779, 27896, -2412, 29612"
values_20,8,4,-1,"{1294, -21298, -22454, 17199"
values_9,4,17,-1,"{-32649, -31610, 6474, -4575, -15987, -18772, -20899, -10346, 26472, 14184, 16198, 32490, -12181, -7550, 7711, 8439, 25848"
values_92,1,17,-1,"{551, 29004, 205, -11443, -18386, 16928, 5436, -32145, -3979, -9903, 9336, -11293, 5869, 2652, 12722, 7095, 5535"
values_3,4,14,-1,"{21088, -14145, 29238, 10429, -29660, -28747, -18779, -27286, -1303, -3727, -8208, 26362, -32664, 20171"
values_98,1,6,-1,"{1015, 26510, -7202, 11633, -28500, 5044"
values_29,8,17,-1,"{9705, 6452, -32050, 26628, 507, 141, 31527, -5962, 23810, 12930, 31120, 2810, -27810, 13739, -14028, -2859, -1621"
values_80,7,4,-1,"{-24035, -24159, -5346, -20545"
values_73,4,14,-1,"{-17146, -25157, 3434, -161, 2120, 27994, -27424, 29545, -32161, 12389, -10255, 29337, -11078, 16294"
