inputName,n
values_11,18
values_19,20
values_12,19
values_38,13
values_81,3
values_5,28
values_40,10
values_70,17
values_23,22
values_72,5
values_79,5
values_78,29
values_87,25
values_6,23
values_68,10
values_69,14
values_1,27
values_45,19
values_33,10
values_15,8
values_93,5
values_24,23
values_25,28
values_26,24
values_48,19
values_71,12
values_76,4
values_7,26
values_50,13
values_22,31
values_4,31
values_32,28
values_77,30
values_91,30
values_42,11
values_13,10
values_41,2
values_55,27
values_31,13
values_66,18
values_65,28
values_62,14
values_21,20
values_95,13
values_84,13
values_58,17
values_64,8
values_83,20
values_94,9
values_0,23
values_99,18
values_96,16
values_67,24
values_61,25
values_43,19
values_2,25
values_54,18
values_30,25
values_59,12
values_85,7
values_74,11
values_90,13
values_18,25
values_52,14
values_44,6
values_17,19
values_36,8
values_49,4
values_86,5
values_37,8
values_56,10
values_63,7
values_35,30
values_97,18
values_75,24
values_57,23
values_88,8
values_10,18
values_53,13
values_8,2
values_39,18
values_47,29
values_60,29
values_89,6
values_51,10
values_14,22
values_28,24
values_16,29
values_34,2
values_82,9
values_46,26
values_27,16
values_20,3
values_9,17
values_92,29
values_3,9
values_98,21
values_29,12
values_80,21
values_73,27
